n,layout,frac,instance,GAT_beam256,SA_full_best,LISA_50pct,BEST_REF,GAT_gap_%,SA_gap_%,LISA_gap_%
50,1,f100,ttd300_n50_L1_f100,-39769.8,-27718.7,-29507.9,-27718.7,43.477,0.000,6.455
50,2,f025,ttd300_n50_L2_f025,-51526.1,-40485.5,,-37379.6,37.846,8.309,
50,2,f050,ttd300_n50_L2_f050,-41089.7,-28081.4,,-27408.2,49.918,2.456,
50,2,f075,ttd300_n50_L2_f075,-40604.9,-24930.1,,-24930.1,62.875,0.000,
50,2,f100,ttd300_n50_L2_f100,-40573.8,-26683.3,,-26683.3,52.057,0.000,
50,3,f025,ttd300_n50_L3_f025,-64937.4,-54077.3,,-52985.4,22.557,2.061,
50,3,f050,ttd300_n50_L3_f050,-45128.1,-37297.4,,-37297.4,20.995,0.000,
50,3,f075,ttd300_n50_L3_f075,-46270.4,-38240.5,,-38240.5,20.998,0.000,
50,3,f100,ttd300_n50_L3_f100,-46270.4,-38960.0,,-38960.0,18.764,0.000,
50,4,f025,ttd300_n50_L4_f025,-67919.2,-55137.7,,-54030.3,25.706,2.050,
50,4,f050,ttd300_n50_L4_f050,-42956.6,-31406.3,,-31406.3,36.777,0.000,
50,4,f075,ttd300_n50_L4_f075,-47990.3,-31260.5,,-31260.5,53.517,0.000,
50,4,f100,ttd300_n50_L4_f100,-50592.1,-31713.1,,-31713.1,59.531,0.000,
50,5,f025,ttd300_n50_L5_f025,-61458.5,-45941.9,,-45257.4,35.798,1.512,
50,5,f050,ttd300_n50_L5_f050,-41729.8,-32097.3,,-32097.3,30.011,0.000,
50,5,f075,ttd300_n50_L5_f075,-44467.3,-32361.7,,-32361.7,37.407,0.000,
50,5,f100,ttd300_n50_L5_f100,-44467.3,-33281.2,,-33281.2,33.611,0.000,
75,1,f025,ttd300_n75_L1_f025,-53466.4,-39246.5,-44642.2,-39246.5,36.232,0.000,13.748
75,1,f050,ttd300_n75_L1_f050,-42516.7,-31382.1,-31382.1,-31382.1,35.480,0.000,-0.000
75,1,f075,ttd300_n75_L1_f075,-44564.8,-33973.7,-36302.7,-33973.7,31.174,0.000,6.855
75,1,f100,ttd300_n75_L1_f100,-44047.9,-31553.7,-37115.5,-31553.7,39.596,0.000,17.626
75,2,f025,ttd300_n75_L2_f025,-37462.2,-31770.0,,-31770.0,17.917,0.000,
75,2,f050,ttd300_n75_L2_f050,-33365.1,-25569.1,,-25569.1,30.490,0.000,
75,2,f075,ttd300_n75_L2_f075,-34715.1,-25232.1,,-25232.1,37.583,0.000,
75,2,f100,ttd300_n75_L2_f100,-34069.3,-25999.8,,-25999.8,31.037,0.000,
75,3,f025,ttd300_n75_L3_f025,-46549.7,-40453.4,,-40453.4,15.070,0.000,
75,3,f050,ttd300_n75_L3_f050,-48638.0,-30891.3,,-30891.3,57.449,0.000,
75,3,f075,ttd300_n75_L3_f075,-41409.3,-30715.1,,-30715.1,34.817,0.000,
75,3,f100,ttd300_n75_L3_f100,-40994.4,-32480.5,,-32480.5,26.212,0.000,
75,4,f025,ttd300_n75_L4_f025,-43678.7,-34064.2,,-34064.2,28.225,0.000,
75,4,f050,ttd300_n75_L4_f050,-37574.7,-29777.1,,-29777.1,26.187,0.000,
75,4,f075,ttd300_n75_L4_f075,-37920.2,-31469.8,,-31469.8,20.497,0.000,
75,4,f100,ttd300_n75_L4_f100,-37732.5,-32435.0,,-32435.0,16.333,0.000,
75,5,f025,ttd300_n75_L5_f025,-48308.2,-37768.6,,-37768.6,27.906,0.000,
75,5,f050,ttd300_n75_L5_f050,-48824.5,-29569.9,,-29569.9,65.115,0.000,
75,5,f075,ttd300_n75_L5_f075,-44701.0,-31299.7,,-31299.7,42.816,0.000,
75,5,f100,ttd300_n75_L5_f100,-44701.0,-30800.5,,-30800.5,45.131,0.000,
100,1,f025,ttd300_n100_L1_f025,-66697.8,-40871.9,-45600.4,-40871.9,63.187,0.000,11.569
100,1,f050,ttd300_n100_L1_f050,-56750.1,-34799.1,-37319.9,-34799.1,63.079,0.000,7.244
100,1,f075,ttd300_n100_L1_f075,-46459.6,-32453.4,-41200.0,-32453.4,43.158,0.000,26.951
100,1,f100,ttd300_n100_L1_f100,-46459.6,-34929.1,-39800.1,-34929.1,33.011,0.000,13.945
100,2,f025,ttd300_n100_L2_f025,-52211.1,-29810.8,,-29810.8,75.141,0.000,
100,2,f050,ttd300_n100_L2_f050,-43424.9,-27825.5,,-27825.5,56.062,0.000,
100,2,f075,ttd300_n100_L2_f075,-36224.2,-27716.8,,-27716.8,30.694,0.000,
100,2,f100,ttd300_n100_L2_f100,-36102.5,-30362.3,,-30362.3,18.906,0.000,
100,3,f025,ttd300_n100_L3_f025,-58808.1,-36670.2,,-36670.2,60.370,0.000,
100,3,f050,ttd300_n100_L3_f050,-43145.8,-30744.0,,-30744.0,40.339,0.000,
100,3,f075,ttd300_n100_L3_f075,-44793.5,-34492.4,,-34492.4,29.865,0.000,
100,3,f100,ttd300_n100_L3_f100,-45113.2,-34851.7,,-34851.7,29.443,0.000,
100,4,f025,ttd300_n100_L4_f025,-62719.9,-34093.8,,-34093.8,83.963,0.000,
100,4,f050,ttd300_n100_L4_f050,-39402.2,-28249.6,,-28249.6,39.479,0.000,
100,4,f075,ttd300_n100_L4_f075,-39630.9,-22811.4,,-22811.4,73.733,0.000,
100,4,f100,ttd300_n100_L4_f100,-38476.7,-30180.5,,-30180.5,27.489,0.000,
100,5,f025,ttd300_n100_L5_f025,-51935.5,-33563.3,,-33563.3,54.739,0.000,
100,5,f050,ttd300_n100_L5_f050,-52155.5,-27830.9,,-27830.9,87.401,0.000,
100,5,f075,ttd300_n100_L5_f075,-47062.8,-30720.6,,-30720.6,53.196,0.000,
100,5,f100,ttd300_n100_L5_f100,-46732.1,-29607.2,,-29607.2,57.840,0.000,
