method,n,seed,instance,status,objective,gap_%,time_s,n_items,n_truck,n_drone,n_rendv,profit,rental,arrival,W_final,W_capacity,W_actual,evals,time_to_best_s,collected_node_ids,truck_node_ids,drone_node_ids,rendezvous_node_ids,truck_route_node_ids,drone_arc_node_ids,W_sequence
VNS,30,1,bench_30_4,ok,-46498.4244,,450.0001,26,17,9,10,22336.0,68834.4244,946.8284,26121.0,68251.0,30139.0,7052978,48.1216,"[7, 6, 9, 11, 15, 14, 10, 12, 13, 24, 23, 25, 26, 20, 27, 28, 29, 2, 4, 16, 22, 30, 21, 18, 19, 31]","[7, 6, 9, 11, 15, 14, 10, 12, 13, 24, 23, 25, 26, 20, 27, 28, 29]","[2, 4, 16, 22, 30, 21, 18, 19, 31]","[3, 8, 15, 13, 23, 26, 20, 28, 29, 1]","[1, 3, 5, 7, 8, 6, 9, 11, 15, 14, 10, 12, 13, 24, 23, 25, 26, 20, 27, 28, 29, 1]","[(1, 17), (17, 3), (3, 2), (2, 8), (8, 4), (4, 15), (15, 16), (16, 13), (13, 22), (22, 23), (23, 30), (30, 26), (26, 21), (21, 20), (20, 18), (18, 28), (28, 19), (19, 29), (29, 31), (31, 1)]","[(1, 0.0), (3, 0.0), (5, 0.0), (7, 0.0), (8, 1009.0), (6, 2014.0), (9, 3016.0), (11, 4016.0), (15, 5022.0), (14, 7031.0), (10, 8037.0), (12, 9037.0), (13, 10042.0), (24, 12049.0), (23, 13057.0), (25, 15062.0), (26, 16068.0), (20, 18074.0), (27, 20087.0), (28, 21094.0), (29, 23105.0), (1, 25114.0)]"
VNS,30,5,bench_30_4,ok,-40676.7291,,450.0001,27,19,8,10,23258.0,63934.7291,879.4323,27129.0,68251.0,30139.0,6772336,97.3828,"[18, 21, 23, 24, 13, 12, 10, 14, 15, 11, 9, 6, 8, 7, 5, 4, 3, 2, 31, 28, 25, 22, 26, 16, 27, 17, 29]","[18, 21, 23, 24, 13, 12, 10, 14, 15, 11, 9, 6, 8, 7, 5, 4, 3, 2, 31]","[28, 25, 22, 26, 16, 27, 17, 29]","[18, 21, 24, 12, 15, 5, 4, 3, 31, 1]","[1, 30, 18, 21, 23, 24, 13, 12, 10, 14, 15, 11, 9, 6, 8, 7, 5, 4, 3, 2, 31, 1]","[(1, 28), (28, 18), (18, 19), (19, 21), (21, 20), (20, 24), (24, 25), (25, 12), (12, 22), (22, 15), (15, 26), (26, 5), (5, 16), (16, 4), (4, 27), (27, 3), (3, 17), (17, 31), (31, 29), (29, 1)]","[(1, 0.0), (30, 0.0), (18, 0.0), (21, 2011.0), (23, 3018.0), (24, 4022.0), (13, 5030.0), (12, 6034.0), (10, 8045.0), (14, 9045.0), (15, 10051.0), (11, 12058.0), (9, 13064.0), (6, 14064.0), (8, 15066.0), (7, 16073.0), (5, 17082.0), (4, 19086.0), (3, 21092.0), (2, 23108.0), (31, 24113.0), (1, 26122.0)]"
VNS,30,9,bench_30_4,ok,-40676.7291,,450.2253,27,19,8,10,23258.0,63934.7291,879.4323,27129.0,68251.0,30139.0,6416877,27.3841,"[18, 21, 23, 24, 13, 12, 10, 14, 15, 11, 9, 6, 8, 7, 5, 4, 3, 2, 31, 28, 25, 22, 26, 16, 27, 17, 29]","[18, 21, 23, 24, 13, 12, 10, 14, 15, 11, 9, 6, 8, 7, 5, 4, 3, 2, 31]","[28, 25, 22, 26, 16, 27, 17, 29]","[18, 21, 24, 12, 15, 5, 4, 3, 31, 1]","[1, 30, 18, 21, 23, 24, 13, 12, 10, 14, 15, 11, 9, 6, 8, 7, 5, 4, 3, 2, 31, 1]","[(1, 28), (28, 18), (18, 19), (19, 21), (21, 20), (20, 24), (24, 25), (25, 12), (12, 22), (22, 15), (15, 26), (26, 5), (5, 16), (16, 4), (4, 27), (27, 3), (3, 17), (17, 31), (31, 29), (29, 1)]","[(1, 0.0), (30, 0.0), (18, 0.0), (21, 2011.0), (23, 3018.0), (24, 4022.0), (13, 5030.0), (12, 6034.0), (10, 8045.0), (14, 9045.0), (15, 10051.0), (11, 12058.0), (9, 13064.0), (6, 14064.0), (8, 15066.0), (7, 16073.0), (5, 17082.0), (4, 19086.0), (3, 21092.0), (2, 23108.0), (31, 24113.0), (1, 26122.0)]"
VNS,30,1,bench_30_5,ok,-40991.677,,450.0906,27,19,8,10,22287.0,63278.677,870.4082,27113.0,68251.0,30126.0,6238147,331.6921,"[25, 22, 16, 17, 13, 14, 12, 10, 9, 8, 7, 6, 18, 19, 20, 5, 30, 3, 31, 23, 15, 11, 28, 26, 4, 29, 2]","[25, 22, 16, 17, 13, 14, 12, 10, 9, 8, 7, 6, 18, 19, 20, 5, 30, 3, 31]","[23, 15, 11, 28, 26, 4, 29, 2]","[25, 22, 14, 10, 9, 19, 30, 3, 31, 1]","[1, 25, 24, 22, 16, 17, 13, 14, 12, 10, 9, 8, 7, 6, 18, 19, 20, 5, 30, 3, 31, 1]","[(1, 27), (27, 25), (25, 21), (21, 22), (22, 23), (23, 14), (14, 15), (15, 10), (10, 11), (11, 9), (9, 28), (28, 19), (19, 26), (26, 30), (30, 4), (4, 3), (3, 29), (29, 31), (31, 2), (2, 1)]","[(1, 0.0), (25, 0.0), (24, 1004.0), (22, 1004.0), (16, 2008.0), (17, 3010.0), (13, 4015.0), (14, 5024.0), (12, 7029.0), (10, 8036.0), (9, 10042.0), (8, 12051.0), (7, 13058.0), (6, 14065.0), (18, 15074.0), (19, 16083.0), (20, 18092.0), (5, 19098.0), (30, 20102.0), (3, 22109.0), (31, 24113.0), (1, 26113.0)]"
VNS,30,5,bench_30_5,ok,-40795.1458,,450.2029,27,19,8,10,22287.0,63082.1458,867.7049,27113.0,68251.0,30126.0,6669069,364.0227,"[25, 22, 16, 17, 13, 14, 10, 11, 9, 8, 7, 18, 19, 20, 5, 30, 3, 31, 2, 23, 15, 12, 6, 26, 4, 28, 29]","[25, 22, 16, 17, 13, 14, 10, 11, 9, 8, 7, 18, 19, 20, 5, 30, 3, 31, 2]","[23, 15, 12, 6, 26, 4, 28, 29]","[24, 22, 13, 11, 7, 19, 30, 3, 2, 1]","[1, 25, 24, 22, 16, 17, 13, 14, 10, 11, 9, 8, 7, 18, 19, 20, 5, 30, 3, 31, 2, 1]","[(1, 27), (27, 24), (24, 21), (21, 22), (22, 23), (23, 13), (13, 15), (15, 11), (11, 12), (12, 7), (7, 6), (6, 19), (19, 26), (26, 30), (30, 4), (4, 3), (3, 28), (28, 2), (2, 29), (29, 1)]","[(1, 0.0), (25, 0.0), (24, 1004.0), (22, 1004.0), (16, 2008.0), (17, 3010.0), (13, 4015.0), (14, 6028.0), (10, 7029.0), (11, 8033.0), (9, 10039.0), (8, 11044.0), (7, 12051.0), (18, 14065.0), (19, 15074.0), (20, 17090.0), (5, 18096.0), (30, 19100.0), (3, 21107.0), (31, 23111.0), (2, 24111.0), (1, 26113.0)]"
VNS,30,9,bench_30_5,ok,-39787.7656,,450.0001,26,18,8,10,21524.0,61311.7656,843.353,26099.0,68251.0,30126.0,5662597,78.6808,"[9, 10, 12, 14, 13, 17, 16, 22, 23, 24, 25, 21, 26, 27, 28, 29, 2, 31, 6, 18, 11, 15, 5, 30, 4, 3]","[9, 10, 12, 14, 13, 17, 16, 22, 23, 24, 25, 21, 26, 27, 28, 29, 2, 31]","[6, 18, 11, 15, 5, 30, 4, 3]","[20, 19, 9, 12, 16, 22, 21, 27, 2, 1]","[1, 20, 19, 9, 10, 12, 14, 13, 17, 16, 22, 23, 24, 25, 21, 26, 27, 28, 29, 2, 31, 1]","[(1, 6), (6, 20), (20, 18), (18, 19), (19, 7), (7, 9), (9, 8), (8, 12), (12, 11), (11, 16), (16, 15), (15, 22), (22, 5), (5, 21), (21, 30), (30, 27), (27, 4), (4, 2), (2, 3), (3, 1)]","[(1, 0.0), (20, 0.0), (19, 1009.0), (9, 2018.0), (10, 3023.0), (12, 4027.0), (14, 5034.0), (13, 6035.0), (17, 7044.0), (16, 8049.0), (22, 10055.0), (23, 12061.0), (24, 13065.0), (25, 14069.0), (21, 15073.0), (26, 17081.0), (27, 18083.0), (28, 20093.0), (29, 21095.0), (2, 22095.0), (31, 24097.0), (1, 25097.0)]"
VNS,40,3,bench_40_1,ok,-46068.7662,,600.1492,37,27,10,10,33022.0,79090.7662,1087.906,37176.0,91001.0,40189.0,8517000,395.8445,"[31, 29, 28, 25, 15, 16, 17, 18, 12, 13, 11, 10, 9, 8, 21, 20, 19, 26, 24, 23, 22, 7, 6, 40, 5, 4, 3, 33, 35, 32, 36, 14, 38, 39, 41, 2, 37]","[31, 29, 28, 25, 15, 16, 17, 18, 12, 13, 11, 10, 9, 8, 21, 20, 19, 26, 24, 23, 22, 7, 6, 40, 5, 4, 3]","[33, 35, 32, 36, 14, 38, 39, 41, 2, 37]","[34, 31, 28, 13, 8, 23, 7, 4, 3, 1]","[1, 34, 30, 31, 29, 27, 28, 25, 15, 16, 17, 18, 12, 13, 11, 10, 9, 8, 21, 20, 19, 26, 24, 23, 22, 7, 6, 40, 5, 4, 3, 1]","[(1, 33), (33, 34), (34, 35), (35, 31), (31, 32), (32, 28), (28, 36), (36, 13), (13, 14), (14, 8), (8, 38), (38, 23), (23, 39), (39, 7), (7, 41), (41, 4), (4, 2), (2, 3), (3, 37), (37, 1)]","[(1, 0.0), (34, 0.0), (30, 1000.0), (31, 1000.0), (29, 3009.0), (27, 4013.0), (28, 4013.0), (25, 6019.0), (15, 7023.0), (16, 8025.0), (17, 9030.0), (18, 10037.0), (12, 11043.0), (13, 12045.0), (11, 14052.0), (10, 15059.0), (9, 16064.0), (8, 17068.0), (21, 19072.0), (20, 20080.0), (19, 21083.0), (26, 22092.0), (24, 23099.0), (23, 24106.0), (22, 26118.0), (7, 27124.0), (6, 29136.0), (40, 30140.0), (5, 31149.0), (4, 32158.0), (3, 34164.0), (1, 36176.0)]"
VNS,40,7,bench_40_1,ok,-48717.5002,,600.494,37,28,9,10,33022.0,81739.5002,1124.3398,37176.0,91001.0,40189.0,7674367,34.5481,"[38, 28, 25, 14, 15, 16, 17, 18, 12, 13, 11, 10, 9, 8, 21, 20, 19, 26, 24, 22, 7, 6, 40, 5, 4, 3, 41, 2, 33, 32, 31, 23, 29, 35, 36, 39, 37]","[38, 28, 25, 14, 15, 16, 17, 18, 12, 13, 11, 10, 9, 8, 21, 20, 19, 26, 24, 22, 7, 6, 40, 5, 4, 3, 41, 2]","[33, 32, 31, 23, 29, 35, 36, 39, 37]","[34, 28, 14, 9, 21, 24, 40, 3, 2, 1]","[1, 38, 34, 27, 28, 25, 14, 15, 16, 17, 18, 12, 13, 11, 10, 9, 8, 21, 20, 19, 26, 24, 22, 7, 6, 40, 5, 4, 3, 41, 2, 1]","[(1, 30), (30, 34), (34, 33), (33, 28), (28, 32), (32, 14), (14, 31), (31, 9), (9, 23), (23, 21), (21, 29), (29, 24), (24, 35), (35, 40), (40, 36), (36, 3), (3, 39), (39, 2), (2, 37), (37, 1)]","[(1, 0.0), (38, 0.0), (34, 1006.0), (27, 1006.0), (28, 1006.0), (25, 3008.0), (14, 4012.0), (15, 6018.0), (16, 7020.0), (17, 8025.0), (18, 9032.0), (12, 10038.0), (13, 11040.0), (11, 12041.0), (10, 13048.0), (9, 14053.0), (8, 16063.0), (21, 17065.0), (20, 19079.0), (19, 20082.0), (26, 21091.0), (24, 22098.0), (22, 24109.0), (7, 25115.0), (6, 26123.0), (40, 27127.0), (5, 29139.0), (4, 30148.0), (3, 31149.0), (41, 33161.0), (2, 34166.0), (1, 36176.0)]"
VNS,40,3,bench_40_2,ok,-53241.5678,,600.0001,33,26,7,10,28135.0,81376.5678,1119.3476,33149.0,91001.0,40172.0,7521877,530.5586,"[24, 25, 22, 13, 12, 11, 9, 10, 8, 6, 7, 5, 17, 16, 18, 4, 2, 40, 3, 39, 19, 38, 37, 36, 35, 41, 31, 30, 28, 34, 29, 33, 32]","[24, 25, 22, 13, 12, 11, 9, 10, 8, 6, 7, 5, 17, 16, 18, 4, 2, 40, 3, 39, 19, 38, 37, 36, 35, 41]","[31, 30, 28, 34, 29, 33, 32]","[27, 22, 12, 10, 5, 4, 39, 38, 35, 1]","[1, 27, 26, 24, 25, 21, 22, 13, 12, 15, 11, 9, 10, 8, 6, 7, 5, 17, 16, 18, 4, 2, 40, 3, 39, 19, 38, 37, 36, 35, 41, 1]","[(1, 23), (23, 27), (27, 31), (31, 22), (22, 14), (14, 12), (12, 20), (20, 10), (10, 30), (30, 5), (5, 28), (28, 4), (4, 34), (34, 39), (39, 29), (29, 38), (38, 33), (33, 35), (35, 32), (32, 1)]","[(1, 0.0), (27, 0.0), (26, 0.0), (24, 0.0), (25, 1006.0), (21, 2015.0), (22, 2015.0), (13, 4029.0), (12, 5032.0), (15, 6037.0), (11, 6037.0), (9, 7041.0), (10, 8042.0), (8, 9048.0), (6, 10048.0), (7, 11053.0), (5, 12062.0), (17, 14076.0), (16, 15079.0), (18, 16082.0), (4, 17084.0), (2, 19096.0), (40, 20102.0), (3, 21103.0), (39, 22107.0), (19, 24113.0), (38, 25122.0), (37, 27126.0), (36, 28132.0), (35, 29138.0), (41, 31144.0), (1, 32144.0)]"
VNS,40,7,bench_40_2,ok,-56640.0699,,600.2685,34,26,8,10,28772.0,85412.0699,1174.8565,34148.0,91001.0,40172.0,7618994,271.0752,"[24, 25, 22, 13, 12, 11, 9, 10, 8, 6, 7, 17, 16, 20, 18, 4, 2, 40, 3, 39, 19, 38, 37, 36, 35, 41, 31, 30, 15, 28, 34, 29, 32, 33]","[24, 25, 22, 13, 12, 11, 9, 10, 8, 6, 7, 17, 16, 20, 18, 4, 2, 40, 3, 39, 19, 38, 37, 36, 35, 41]","[31, 30, 15, 28, 34, 29, 32, 33]","[27, 12, 10, 5, 20, 4, 39, 38, 35, 1]","[1, 27, 26, 24, 25, 21, 22, 13, 12, 11, 9, 10, 8, 6, 7, 5, 17, 16, 20, 18, 4, 2, 40, 3, 39, 19, 38, 37, 36, 35, 41, 1]","[(1, 23), (23, 27), (27, 31), (31, 12), (12, 14), (14, 10), (10, 30), (30, 5), (5, 15), (15, 20), (20, 28), (28, 4), (4, 34), (34, 39), (39, 29), (29, 38), (38, 32), (32, 35), (35, 33), (33, 1)]","[(1, 0.0), (27, 0.0), (26, 0.0), (24, 0.0), (25, 1006.0), (21, 2015.0), (22, 2015.0), (13, 3023.0), (12, 4026.0), (11, 6037.0), (9, 7041.0), (10, 8042.0), (8, 9048.0), (6, 10048.0), (7, 11053.0), (5, 12062.0), (17, 13068.0), (16, 14071.0), (20, 15074.0), (18, 17081.0), (4, 18083.0), (2, 20095.0), (40, 21101.0), (3, 22102.0), (39, 23106.0), (19, 25112.0), (38, 26121.0), (37, 28125.0), (36, 29131.0), (35, 30137.0), (41, 32143.0), (1, 33143.0)]"
VNS,40,3,bench_40_3,ok,-51508.3811,,600.3068,34,26,8,10,29166.0,80674.3811,1109.6889,34181.0,91001.0,40203.0,7951021,317.2409,"[29, 28, 26, 27, 23, 15, 13, 14, 16, 12, 11, 10, 8, 7, 19, 18, 17, 22, 21, 39, 20, 4, 5, 6, 2, 3, 32, 33, 9, 30, 37, 38, 35, 36]","[29, 28, 26, 27, 23, 15, 13, 14, 16, 12, 11, 10, 8, 7, 19, 18, 17, 22, 21, 39, 20, 4, 5, 6, 2, 3]","[32, 33, 9, 30, 37, 38, 35, 36]","[40, 29, 15, 8, 19, 21, 4, 6, 3, 1]","[1, 41, 40, 29, 28, 26, 25, 27, 24, 23, 15, 13, 14, 16, 12, 11, 10, 8, 7, 19, 18, 17, 22, 21, 39, 20, 4, 5, 6, 2, 3, 1]","[(1, 34), (34, 40), (40, 31), (31, 29), (29, 32), (32, 15), (15, 33), (33, 8), (8, 9), (9, 19), (19, 30), (30, 21), (21, 37), (37, 4), (4, 38), (38, 6), (6, 35), (35, 3), (3, 36), (36, 1)]","[(1, 0.0), (41, 0.0), (40, 0.0), (29, 0.0), (28, 1003.0), (26, 2010.0), (25, 3012.0), (27, 3012.0), (24, 4016.0), (23, 4016.0), (15, 5025.0), (13, 7037.0), (14, 8042.0), (16, 9043.0), (12, 10051.0), (11, 11051.0), (10, 12052.0), (8, 13061.0), (7, 15074.0), (19, 16076.0), (18, 18091.0), (17, 19099.0), (22, 20102.0), (21, 21106.0), (39, 23120.0), (20, 24128.0), (4, 25136.0), (5, 27148.0), (6, 28156.0), (2, 30158.0), (3, 31160.0), (1, 33173.0)]"
VNS,40,7,bench_40_3,ok,-50959.758,,600.0178,36,27,9,10,30493.0,81452.758,1120.3956,36177.0,91001.0,40203.0,7864792,199.1325,"[29, 26, 27, 23, 15, 13, 14, 12, 11, 10, 9, 8, 7, 19, 18, 17, 22, 5, 6, 4, 20, 39, 38, 3, 2, 40, 41, 32, 30, 16, 21, 33, 37, 35, 36, 34]","[29, 26, 27, 23, 15, 13, 14, 12, 11, 10, 9, 8, 7, 19, 18, 17, 22, 5, 6, 4, 20, 39, 38, 3, 2, 40, 41]","[32, 30, 16, 21, 33, 37, 35, 36, 34]","[29, 10, 18, 5, 4, 38, 2, 40, 41, 1]","[1, 29, 28, 26, 25, 27, 24, 23, 15, 13, 14, 12, 11, 10, 9, 8, 7, 19, 18, 17, 22, 5, 6, 4, 20, 39, 38, 3, 2, 40, 41, 1]","[(1, 31), (31, 29), (29, 32), (32, 10), (10, 30), (30, 18), (18, 16), (16, 5), (5, 21), (21, 4), (4, 33), (33, 38), (38, 37), (37, 2), (2, 35), (35, 40), (40, 36), (36, 41), (41, 34), (34, 1)]","[(1, 0.0), (29, 0.0), (28, 1003.0), (26, 1003.0), (25, 2005.0), (27, 2005.0), (24, 3009.0), (23, 3009.0), (15, 4018.0), (13, 5027.0), (14, 6032.0), (12, 7033.0), (11, 8033.0), (10, 9034.0), (9, 11046.0), (8, 12055.0), (7, 13063.0), (19, 14065.0), (18, 15071.0), (17, 17084.0), (22, 18087.0), (5, 19091.0), (6, 21107.0), (4, 22108.0), (20, 24125.0), (39, 25133.0), (38, 26141.0), (3, 28147.0), (2, 29152.0), (40, 31158.0), (41, 33169.0), (1, 35177.0)]"
VNS,40,3,bench_40_4,ok,-45445.8412,,600.0001,39,29,10,10,33578.0,79023.8412,1086.9854,39191.0,91001.0,40195.0,8125496,509.0387,"[24, 25, 30, 31, 16, 15, 12, 14, 17, 18, 13, 11, 7, 10, 8, 9, 6, 5, 19, 28, 21, 20, 22, 23, 40, 4, 3, 41, 2, 34, 32, 33, 29, 27, 35, 36, 38, 39, 37]","[24, 25, 30, 31, 16, 15, 12, 14, 17, 18, 13, 11, 7, 10, 8, 9, 6, 5, 19, 28, 21, 20, 22, 23, 40, 4, 3, 41, 2]","[34, 32, 33, 29, 27, 35, 36, 38, 39, 37]","[15, 13, 5, 19, 21, 23, 4, 41, 2, 1]","[1, 24, 25, 26, 30, 31, 16, 15, 12, 14, 17, 18, 13, 11, 7, 10, 8, 9, 6, 5, 19, 28, 21, 20, 22, 23, 40, 4, 3, 41, 2, 1]","[(1, 34), (34, 15), (15, 32), (32, 13), (13, 33), (33, 5), (5, 29), (29, 19), (19, 27), (27, 21), (21, 35), (35, 23), (23, 36), (36, 4), (4, 38), (38, 41), (41, 39), (39, 2), (2, 37), (37, 1)]","[(1, 0.0), (24, 0.0), (25, 1002.0), (26, 2008.0), (30, 2008.0), (31, 3012.0), (16, 4020.0), (15, 5024.0), (12, 7031.0), (14, 8031.0), (17, 9036.0), (18, 10042.0), (13, 11048.0), (11, 13060.0), (7, 14060.0), (10, 15062.0), (8, 16069.0), (9, 17077.0), (6, 18086.0), (5, 19086.0), (19, 21093.0), (28, 23097.0), (21, 24100.0), (20, 26114.0), (22, 27123.0), (23, 28125.0), (40, 30139.0), (4, 31141.0), (3, 33154.0), (41, 34159.0), (2, 36173.0), (1, 38183.0)]"
VNS,40,7,bench_40_4,ok,-47923.5612,,600.1368,37,27,10,10,31752.0,79675.5612,1095.9499,37172.0,91001.0,40195.0,8025004,485.8251,"[2, 20, 5, 6, 9, 8, 7, 11, 13, 12, 15, 14, 17, 18, 29, 30, 31, 32, 33, 34, 26, 25, 24, 35, 36, 38, 37, 3, 28, 19, 27, 16, 22, 40, 23, 39, 41]","[2, 20, 5, 6, 9, 8, 7, 11, 13, 12, 15, 14, 17, 18, 29, 30, 31, 32, 33, 34, 26, 25, 24, 35, 36, 38, 37]","[3, 28, 19, 27, 16, 22, 40, 23, 39, 41]","[12, 18, 29, 31, 32, 34, 24, 36, 37, 1]","[1, 2, 4, 21, 20, 5, 6, 9, 10, 8, 7, 11, 13, 12, 15, 14, 17, 18, 29, 30, 31, 32, 33, 34, 26, 25, 24, 35, 36, 38, 37, 1]","[(1, 3), (3, 12), (12, 28), (28, 18), (18, 19), (19, 29), (29, 27), (27, 31), (31, 16), (16, 32), (32, 22), (22, 34), (34, 40), (40, 24), (24, 23), (23, 36), (36, 39), (39, 37), (37, 41), (41, 1)]","[(1, 0.0), (2, 0.0), (4, 1009.0), (21, 1009.0), (20, 1009.0), (5, 2018.0), (6, 3021.0), (9, 4021.0), (10, 5030.0), (8, 5030.0), (7, 6038.0), (11, 7040.0), (13, 8040.0), (12, 9046.0), (15, 11051.0), (14, 12056.0), (17, 13061.0), (18, 14067.0), (29, 16076.0), (30, 18080.0), (31, 19084.0), (32, 21099.0), (33, 23109.0), (34, 24113.0), (26, 26117.0), (25, 27121.0), (24, 28127.0), (35, 30131.0), (36, 31138.0), (38, 33149.0), (37, 34156.0), (1, 36165.0)]"
