factor,n,instance,objective,rental,arrival,time_s,gap_%,n_truck,n_drone,n_rendv,n_items,profit,time_to_best_s,reheats,evals,vD,W_final,W_capacity,truck_node_ids,drone_node_ids,rendezvous_node_ids,truck_route_node_ids,drone_arc_node_ids
1.0,100,bench_100_1,-71385.932,153238.932,2107.8258,35.9363,,87,9,10,96,81853.0,35.9362,0,540297,1.0,96389.0,227504.0,"[90, 94, 93, 92, 96, 95, 77, 76, 78, 83, 82, 81, 79, 55, 54, 53, 52, 97, 51, 98, 12, 13, 14, 15, 19, 18, 20, 17, 16, 23, 24, 21, 22, 25, 31, 42, 65, 64, 63, 38, 39, 41, 40, 32, 30, 28, 27, 29, 33, 34, 35, 36, 37, 61, 62, 60, 59, 58, 68, 70, 69, 71, 72, 74, 73, 75, 67, 66, 57, 43, 44, 45, 46, 47, 48, 49, 50, 10, 9, 99, 100, 8, 7, 6, 5, 4, 3]","[89, 91, 87, 26, 86, 84, 85, 101, 2]","[93, 79, 97, 24, 65, 59, 57, 8, 3, 1]","[1, 90, 94, 93, 92, 96, 95, 77, 76, 78, 83, 82, 81, 80, 79, 56, 55, 54, 53, 52, 97, 51, 98, 11, 12, 13, 14, 15, 19, 18, 20, 17, 16, 23, 24, 21, 22, 25, 31, 42, 65, 64, 63, 38, 39, 41, 40, 32, 30, 28, 27, 29, 33, 34, 35, 36, 37, 61, 62, 60, 59, 58, 68, 70, 69, 71, 72, 74, 73, 75, 67, 66, 57, 43, 44, 45, 46, 47, 48, 49, 50, 10, 9, 99, 100, 8, 7, 6, 5, 4, 3, 1]","[(1, 88), (88, 93), (93, 89), (89, 79), (79, 91), (91, 97), (97, 87), (87, 24), (24, 26), (26, 65), (65, 86), (86, 59), (59, 84), (84, 57), (57, 85), (85, 8), (8, 101), (101, 3), (3, 2), (2, 1)]"
2.0,1,bench_1_1,-19925.5,20719.5,285.0,15.0001,,0,1,1,1,794.0,0.0001,588,4277416,2.0,1001.0,2275.0,[],[2],[1],"[1, 1]","[(1, 2), (2, 1)]"
2.0,5,bench_5_1,-30367.6626,32311.6626,444.452,15.0003,-0.0001,1,1,3,2,1944.0,0.0018,132,2901657,2.0,2006.0,11375.0,[2],[6],"[2, 5, 1]","[1, 2, 5, 1]","[(1, 4), (4, 2), (2, 3), (3, 5), (5, 6), (6, 1)]"
2.0,10,bench_10_1,-37643.0869,42484.0869,584.3753,15.0039,,3,2,5,5,4841.0,1.072,49,2000604,2.0,5011.0,22750.0,"[4, 11, 10]","[6, 9]","[7, 2, 4, 11, 1]","[1, 7, 2, 4, 11, 10, 1]","[(1, 8), (8, 7), (7, 3), (3, 2), (2, 5), (5, 4), (4, 6), (6, 11), (11, 9), (9, 1)]"
2.0,20,bench_20_1,-40488.7455,54220.7455,745.8149,15.767,,9,7,9,16,13732.0,15.7669,17,1424940,2.0,16072.0,45501.0,"[6, 8, 10, 9, 15, 12, 18, 17, 21]","[4, 7, 16, 13, 14, 19, 20]","[2, 3, 8, 9, 15, 12, 17, 21, 1]","[1, 2, 3, 6, 8, 10, 9, 15, 12, 18, 17, 21, 1]","[(1, 11), (11, 2), (2, 5), (5, 3), (3, 4), (4, 8), (8, 7), (7, 9), (9, 16), (16, 15), (15, 13), (13, 12), (12, 14), (14, 17), (17, 19), (19, 21), (21, 20), (20, 1)]"
2.0,30,bench_30_1,-36598.3856,61680.3856,848.4235,16.0275,,16,12,12,28,25082.0,16.0272,8,1025546,2.0,28127.0,68251.0,"[4, 5, 7, 8, 11, 15, 14, 13, 19, 21, 20, 23, 25, 28, 31, 2]","[27, 6, 9, 12, 16, 18, 22, 29, 24, 26, 30, 3]","[17, 10, 11, 13, 19, 21, 20, 23, 25, 28, 2, 1]","[1, 4, 5, 7, 17, 8, 10, 11, 15, 14, 13, 19, 21, 20, 23, 25, 28, 31, 2, 1]","[(1, 27), (27, 17), (17, 6), (6, 10), (10, 9), (9, 11), (11, 12), (12, 13), (13, 16), (16, 19), (19, 18), (18, 21), (21, 22), (22, 20), (20, 29), (29, 23), (23, 24), (24, 25), (25, 26), (26, 28), (28, 30), (30, 2), (2, 3), (3, 1)]"
2.0,40,bench_40_1,-38430.8786,73140.8786,1006.0644,15.0847,,25,14,14,39,34710.0,15.0846,5,900481,2.0,39183.0,91001.0,"[40, 6, 7, 22, 8, 10, 11, 12, 16, 18, 20, 21, 19, 26, 23, 28, 27, 29, 30, 33, 35, 34, 38, 41, 2]","[4, 14, 13, 15, 17, 9, 5, 25, 24, 32, 31, 36, 39, 37]","[6, 10, 12, 16, 18, 19, 23, 27, 30, 33, 35, 38, 2, 1]","[1, 3, 40, 6, 7, 22, 8, 10, 11, 12, 16, 18, 20, 21, 19, 26, 23, 28, 27, 29, 30, 33, 35, 34, 38, 41, 2, 1]","[(1, 4), (4, 6), (6, 14), (14, 10), (10, 13), (13, 12), (12, 15), (15, 16), (16, 17), (17, 18), (18, 9), (9, 19), (19, 5), (5, 23), (23, 25), (25, 27), (27, 24), (24, 30), (30, 32), (32, 33), (33, 31), (31, 35), (35, 36), (36, 38), (38, 39), (39, 2), (2, 37), (37, 1)]"
2.0,50,bench_50_1,-39146.197,83343.197,1146.3989,15.0636,,34,16,16,50,44197.0,14.4847,3,747860,2.0,50223.0,113752.0,"[43, 44, 40, 41, 42, 39, 37, 33, 34, 30, 16, 17, 18, 20, 12, 13, 11, 10, 8, 23, 22, 21, 28, 24, 7, 4, 5, 50, 49, 48, 47, 46, 51, 2]","[45, 36, 35, 31, 15, 19, 14, 9, 26, 29, 32, 27, 6, 25, 38, 3]","[42, 37, 34, 16, 18, 20, 11, 10, 23, 21, 28, 7, 4, 48, 2, 1]","[1, 43, 44, 40, 41, 42, 39, 37, 33, 34, 30, 16, 17, 18, 20, 12, 13, 11, 10, 8, 23, 22, 21, 28, 24, 7, 4, 5, 50, 49, 48, 47, 46, 51, 2, 1]","[(1, 45), (45, 42), (42, 36), (36, 37), (37, 35), (35, 34), (30, 31), (31, 16), (16, 15), (15, 18), (18, 19), (19, 20), (13, 14), (14, 11), (11, 9), (9, 10), (10, 26), (26, 23), (23, 29), (29, 21), (21, 32), (32, 28), (28, 27), (27, 7), (7, 6), (6, 4), (5, 25), (25, 48), (48, 38), (38, 2), (2, 3), (3, 1)]"
2.0,100,bench_100_1,-70776.0257,152629.0257,2099.4364,18.7474,,87,9,10,96,81853.0,18.7474,0,386833,2.0,96389.0,227504.0,"[93, 84, 94, 92, 96, 95, 77, 76, 78, 83, 82, 81, 79, 55, 54, 53, 52, 97, 51, 98, 12, 13, 14, 15, 19, 18, 20, 17, 16, 23, 24, 21, 22, 25, 31, 42, 65, 64, 63, 38, 39, 41, 40, 32, 30, 28, 27, 29, 33, 34, 35, 36, 37, 61, 62, 60, 59, 58, 68, 70, 69, 71, 72, 74, 73, 75, 67, 66, 57, 43, 44, 45, 46, 47, 48, 49, 50, 10, 9, 99, 100, 8, 7, 6, 5, 4, 3]","[89, 26, 91, 86, 85, 90, 101, 2, 87]","[84, 37, 68, 75, 57, 50, 8, 5, 3, 1]","[1, 93, 84, 94, 92, 96, 95, 77, 76, 78, 83, 82, 81, 80, 79, 56, 55, 54, 53, 52, 97, 51, 98, 11, 12, 13, 14, 15, 19, 18, 20, 17, 16, 23, 24, 21, 22, 25, 31, 42, 65, 64, 63, 38, 39, 41, 40, 32, 30, 28, 27, 29, 33, 34, 35, 36, 37, 61, 62, 60, 59, 58, 68, 70, 69, 71, 72, 74, 73, 75, 67, 66, 57, 43, 44, 45, 46, 47, 48, 49, 50, 10, 9, 99, 100, 8, 7, 6, 5, 4, 3, 1]","[(1, 88), (88, 84), (84, 89), (89, 37), (37, 26), (26, 68), (68, 91), (91, 75), (75, 86), (86, 57), (57, 85), (85, 50), (50, 90), (90, 8), (8, 101), (101, 5), (5, 2), (2, 3), (3, 87), (87, 1)]"
3.0,1,bench_1_1,-13019.0,13813.0,190.0,15.0001,,0,1,1,1,794.0,0.0001,577,4199774,3.0,1001.0,2275.0,[],[2],[1],"[1, 1]","[(1, 2), (2, 1)]"
3.0,5,bench_5_1,-23413.6141,27749.6141,381.7003,15.0003,,2,3,3,5,4336.0,0.0019,124,2709042,3.0,5015.0,11375.0,"[5, 6]","[4, 3, 2]","[5, 6, 1]","[1, 5, 6, 1]","[(1, 4), (4, 5), (5, 3), (3, 6), (6, 2), (2, 1)]"
3.0,10,bench_10_1,-36223.6224,41649.6224,572.8971,15.0048,,3,3,5,6,5426.0,14.9324,50,2029660,3.0,6014.0,22750.0,"[8, 11, 10]","[5, 6, 9]","[7, 2, 8, 10, 1]","[1, 7, 2, 8, 11, 10, 1]","[(1, 3), (3, 7), (7, 4), (4, 2), (2, 5), (5, 8), (8, 6), (6, 10), (10, 9), (9, 1)]"
3.0,20,bench_20_1,-40073.7253,53968.7253,742.3484,15.0658,,8,8,10,16,13895.0,15.0658,17,1423167,3.0,16071.0,45501.0,"[6, 8, 9, 16, 12, 18, 17, 21]","[4, 7, 15, 14, 13, 10, 11, 20]","[2, 3, 6, 8, 9, 16, 12, 17, 21, 1]","[1, 2, 3, 6, 8, 9, 16, 12, 18, 17, 21, 1]","[(1, 19), (19, 2), (2, 5), (5, 3), (3, 4), (4, 6), (6, 7), (7, 8), (8, 15), (15, 9), (9, 14), (14, 16), (16, 13), (13, 12), (12, 10), (10, 17), (17, 11), (11, 21), (21, 20), (20, 1)]"
3.0,30,bench_30_1,-33097.5608,59489.5608,818.2883,15.0251,,17,13,13,30,26392.0,15.0251,8,1072117,3.0,30140.0,68251.0,"[28, 23, 22, 21, 19, 13, 14, 15, 11, 16, 17, 7, 6, 5, 3, 31, 2]","[24, 20, 29, 12, 10, 9, 8, 4, 18, 25, 30, 27, 26]","[23, 22, 19, 14, 11, 16, 17, 7, 5, 3, 31, 2, 1]","[1, 28, 23, 22, 21, 19, 13, 14, 15, 11, 16, 17, 7, 6, 5, 3, 31, 2, 1]","[(1, 24), (24, 23), (23, 20), (20, 22), (22, 29), (29, 19), (19, 12), (12, 14), (14, 10), (10, 11), (11, 9), (9, 16), (16, 8), (8, 17), (17, 4), (4, 7), (7, 18), (18, 5), (5, 25), (25, 3), (3, 30), (30, 31), (31, 27), (27, 2), (2, 26), (26, 1)]"
3.0,40,bench_40_1,-36578.2843,70630.2843,971.5307,15.0768,,24,14,15,38,34052.0,15.0768,5,934784,3.0,38177.0,91001.0,"[40, 6, 7, 8, 9, 10, 11, 16, 15, 17, 18, 20, 19, 26, 24, 27, 29, 31, 30, 33, 35, 34, 38, 2]","[32, 13, 25, 12, 23, 21, 14, 28, 5, 39, 36, 37, 4, 41]","[40, 8, 11, 15, 17, 20, 26, 27, 29, 30, 33, 35, 38, 2, 1]","[1, 3, 40, 6, 7, 8, 9, 10, 11, 16, 15, 17, 18, 20, 19, 26, 24, 27, 29, 31, 30, 33, 35, 34, 38, 2, 1]","[(1, 22), (22, 40), (40, 32), (32, 8), (8, 13), (13, 11), (11, 25), (25, 15), (15, 12), (12, 17), (18, 23), (23, 20), (20, 21), (21, 26), (26, 14), (14, 27), (27, 28), (28, 29), (29, 5), (5, 30), (30, 39), (39, 33), (33, 36), (36, 35), (35, 37), (37, 38), (38, 4), (4, 2), (2, 41), (41, 1)]"
3.0,50,bench_50_1,-39218.484,82802.484,1138.9613,15.0601,,30,19,19,49,43584.0,10.0932,3,781176,3.0,49217.0,113752.0,"[5, 6, 28, 22, 23, 10, 11, 14, 13, 20, 19, 18, 17, 31, 30, 32, 27, 25, 26, 34, 33, 37, 36, 39, 45, 46, 47, 48, 51, 2]","[40, 12, 21, 9, 8, 16, 15, 24, 29, 41, 35, 38, 42, 7, 49, 50, 4, 43, 44]","[6, 28, 23, 10, 14, 17, 30, 32, 25, 34, 33, 37, 39, 45, 47, 48, 51, 2, 1]","[1, 3, 5, 6, 28, 22, 23, 10, 11, 14, 13, 20, 19, 18, 17, 31, 30, 32, 27, 25, 26, 34, 33, 37, 36, 39, 45, 46, 47, 48, 51, 2, 1]","[(1, 40), (40, 6), (6, 12), (12, 28), (28, 21), (21, 23), (23, 9), (9, 10), (10, 8), (8, 14), (14, 16), (16, 17), (17, 15), (15, 30), (30, 24), (24, 32), (32, 29), (29, 25), (25, 41), (41, 34), (34, 35), (35, 33), (33, 38), (38, 37), (37, 42), (42, 39), (39, 7), (7, 45), (45, 49), (49, 47), (47, 50), (50, 48), (48, 4), (4, 51), (51, 43), (43, 2), (2, 44), (44, 1)]"
3.0,100,bench_100_1,-70402.8695,152255.8695,2094.3036,19.7972,,87,9,10,96,81853.0,19.7971,0,409227,3.0,96389.0,227504.0,"[93, 84, 94, 92, 96, 95, 77, 76, 78, 83, 82, 81, 79, 55, 54, 53, 52, 97, 51, 98, 12, 13, 14, 15, 19, 18, 20, 17, 16, 23, 24, 21, 22, 25, 31, 42, 65, 64, 63, 38, 39, 41, 40, 32, 30, 28, 27, 29, 33, 34, 35, 36, 37, 61, 62, 60, 59, 58, 68, 70, 69, 71, 72, 74, 73, 75, 67, 66, 57, 43, 44, 45, 46, 47, 48, 49, 50, 10, 9, 99, 100, 8, 7, 6, 5, 4, 3]","[87, 91, 86, 26, 85, 101, 2, 89, 90]","[84, 73, 67, 44, 50, 100, 7, 5, 3, 1]","[1, 93, 84, 94, 92, 96, 95, 77, 76, 78, 83, 82, 81, 80, 79, 56, 55, 54, 53, 52, 97, 51, 98, 11, 12, 13, 14, 15, 19, 18, 20, 17, 16, 23, 24, 21, 22, 25, 31, 42, 65, 64, 63, 38, 39, 41, 40, 32, 30, 28, 27, 29, 33, 34, 35, 36, 37, 61, 62, 60, 59, 58, 68, 70, 69, 71, 72, 74, 73, 75, 67, 66, 57, 43, 44, 45, 46, 47, 48, 49, 50, 10, 9, 99, 100, 8, 7, 6, 5, 4, 3, 1]","[(1, 88), (88, 84), (84, 87), (87, 73), (73, 91), (91, 67), (67, 86), (86, 44), (44, 26), (26, 50), (50, 85), (85, 100), (100, 101), (101, 7), (7, 2), (2, 5), (5, 89), (89, 3), (3, 90), (90, 1)]"
