method,n,seed,instance,status,objective,gap_%,time_s,n_items,n_truck,n_drone,n_rendv,profit,rental,arrival,W_final,W_capacity,W_actual,evals,time_to_best_s,reheats,collected_node_ids,truck_node_ids,drone_node_ids,rendezvous_node_ids,truck_route_node_ids,drone_arc_node_ids,W_sequence
SA,5,0,bench_5_5,ok,-16725.35,0.0,10.0003,5,2,3,3,4394.0,21119.35,290.5,5021.0,11375.0,5021.0,1583512,0.1814,72,"[6, 2, 5, 3, 4]","[6, 2]","[5, 3, 4]","[6, 2, 1]","[1, 6, 2, 1]","[(1, 5), (5, 6), (6, 3), (3, 2), (2, 4), (4, 1)]","[(1, 0.0), (6, 0.0), (2, 2007.0), (1, 4017.0)]"
SA,5,2,bench_5_5,ok,-16725.35,0.0,10.0003,5,2,3,3,4394.0,21119.35,290.5,5021.0,11375.0,5021.0,1593284,0.0531,73,"[6, 2, 5, 3, 4]","[6, 2]","[5, 3, 4]","[6, 2, 1]","[1, 6, 2, 1]","[(1, 5), (5, 6), (6, 3), (3, 2), (2, 4), (4, 1)]","[(1, 0.0), (6, 0.0), (2, 2007.0), (1, 4017.0)]"
SA,5,4,bench_5_5,ok,-16725.35,0.0,10.0003,5,2,3,3,4394.0,21119.35,290.5,5021.0,11375.0,5021.0,1603057,0.5858,73,"[6, 2, 5, 3, 4]","[6, 2]","[5, 3, 4]","[6, 2, 1]","[1, 6, 2, 1]","[(1, 5), (5, 6), (6, 3), (3, 2), (2, 4), (4, 1)]","[(1, 0.0), (6, 0.0), (2, 2007.0), (1, 4017.0)]"
SA,5,6,bench_5_5,ok,-16725.35,0.0,10.0003,5,2,3,3,4394.0,21119.35,290.5,5021.0,11375.0,5021.0,1599135,0.0478,73,"[6, 2, 5, 3, 4]","[6, 2]","[5, 3, 4]","[6, 2, 1]","[1, 6, 2, 1]","[(1, 5), (5, 6), (6, 3), (3, 2), (2, 4), (4, 1)]","[(1, 0.0), (6, 0.0), (2, 2007.0), (1, 4017.0)]"
SA,5,8,bench_5_5,ok,-16725.35,0.0,10.0003,5,2,3,3,4394.0,21119.35,290.5,5021.0,11375.0,5021.0,1593122,0.0474,72,"[6, 2, 5, 3, 4]","[6, 2]","[5, 3, 4]","[6, 2, 1]","[1, 6, 2, 1]","[(1, 5), (5, 6), (6, 3), (3, 2), (2, 4), (4, 1)]","[(1, 0.0), (6, 0.0), (2, 2007.0), (1, 4017.0)]"
SA,10,0,bench_10_1,ok,-37643.0869,,30.0041,5,3,2,5,4841.0,42484.0869,584.3753,5011.0,22750.0,10028.0,3133824,1.7698,78,"[4, 11, 10, 6, 9]","[4, 11, 10]","[6, 9]","[7, 2, 4, 11, 1]","[1, 7, 2, 4, 11, 10, 1]","[(1, 8), (8, 7), (7, 3), (3, 2), (2, 5), (5, 4), (4, 6), (6, 11), (11, 9), (9, 1)]","[(1, 0.0), (7, 0.0), (2, 0.0), (4, 0.0), (11, 1002.0), (10, 3008.0), (1, 4008.0)]"
SA,10,2,bench_10_1,ok,-37643.0869,,30.004,5,3,2,5,4841.0,42484.0869,584.3753,5011.0,22750.0,10028.0,3127378,27.8485,78,"[4, 11, 10, 6, 9]","[4, 11, 10]","[6, 9]","[7, 2, 4, 11, 1]","[1, 7, 2, 4, 11, 10, 1]","[(1, 8), (8, 7), (7, 3), (3, 2), (2, 5), (5, 4), (4, 6), (6, 11), (11, 9), (9, 1)]","[(1, 0.0), (7, 0.0), (2, 0.0), (4, 0.0), (11, 1002.0), (10, 3008.0), (1, 4008.0)]"
SA,10,4,bench_10_1,ok,-37643.0869,,30.004,5,3,2,5,4841.0,42484.0869,584.3753,5011.0,22750.0,10028.0,3125466,1.3002,77,"[4, 11, 10, 6, 9]","[4, 11, 10]","[6, 9]","[7, 2, 4, 11, 1]","[1, 7, 2, 4, 11, 10, 1]","[(1, 8), (8, 7), (7, 3), (3, 2), (2, 5), (5, 4), (4, 6), (6, 11), (11, 9), (9, 1)]","[(1, 0.0), (7, 0.0), (2, 0.0), (4, 0.0), (11, 1002.0), (10, 3008.0), (1, 4008.0)]"
SA,10,6,bench_10_1,ok,-37643.0869,,30.0037,5,3,2,5,4841.0,42484.0869,584.3753,5011.0,22750.0,10028.0,3160928,12.7801,78,"[4, 11, 10, 6, 9]","[4, 11, 10]","[6, 9]","[7, 2, 4, 11, 1]","[1, 7, 2, 4, 11, 10, 1]","[(1, 8), (8, 7), (7, 3), (3, 2), (2, 5), (5, 4), (4, 6), (6, 11), (11, 9), (9, 1)]","[(1, 0.0), (7, 0.0), (2, 0.0), (4, 0.0), (11, 1002.0), (10, 3008.0), (1, 4008.0)]"
SA,10,8,bench_10_1,ok,-37643.0869,,30.0035,5,3,2,5,4841.0,42484.0869,584.3753,5011.0,22750.0,10028.0,3198436,16.7082,79,"[4, 11, 10, 6, 9]","[4, 11, 10]","[6, 9]","[7, 2, 4, 11, 1]","[1, 7, 2, 4, 11, 10, 1]","[(1, 8), (8, 7), (7, 3), (3, 2), (2, 5), (5, 4), (4, 6), (6, 11), (11, 9), (9, 1)]","[(1, 0.0), (7, 0.0), (2, 0.0), (4, 0.0), (11, 1002.0), (10, 3008.0), (1, 4008.0)]"
