n,instance,frac_label,frac,lisa_budget_s,sa_full_budget_s,GAT_beam,SA_scratch_frac,SA_warm_frac,PORTFOLIO_frac,SA_full_best_corrected,gap_vs_SAfull_%,gat_gap_vs_SAfull_%
20,bench_20_2,20%,0.2000,60.00,300.0,-40499.6,-38826.7,-40499.6,-38826.7,-38826.7,+0.000,+4.309
20,bench_20_3,20%,0.2000,60.00,300.0,-39178.5,-35533.6,-35142.8,-35142.8,-35024.7,+0.337,+11.860
20,bench_20_4,20%,0.2000,60.00,300.0,-37543.5,-37088.0,-37080.4,-37080.4,-35251.9,+5.187,+6.501
20,bench_20_1,25%,0.2500,75.00,300.0,-40121.2,-40117.5,-40090.7,-40090.7,-40090.7,-0.000,+0.076
20,bench_20_2,25%,0.2500,75.00,300.0,-40499.6,-38826.7,-40499.6,-38826.7,-38826.7,+0.000,+4.309
20,bench_20_3,25%,0.2500,75.00,300.0,-39178.5,-35533.6,-35142.8,-35142.8,-35024.7,+0.337,+11.860
20,bench_20_4,25%,0.2500,75.00,300.0,-37543.5,-37088.0,-37080.4,-37080.4,-35251.9,+5.187,+6.501
20,bench_20_1,33.33%,0.3333,100.00,300.0,-40121.2,-40117.5,-40090.7,-40090.7,-40090.7,-0.000,+0.076
20,bench_20_2,33.33%,0.3333,100.00,300.0,-40499.6,-38826.7,-40499.6,-38826.7,-38826.7,+0.000,+4.309
20,bench_20_3,33.33%,0.3333,100.00,300.0,-39178.5,-35462.0,-35142.8,-35142.8,-35024.7,+0.337,+11.860
20,bench_20_4,33.33%,0.3333,100.00,300.0,-37543.5,-38096.8,-37080.4,-37080.4,-35251.9,+5.187,+6.501
20,bench_20_1,50%,0.5000,150.00,300.0,-40121.2,-40117.5,-40090.7,-40090.7,-40090.7,-0.000,+0.076
20,bench_20_2,50%,0.5000,150.00,300.0,-40499.6,-38826.7,-39895.8,-38826.7,-38826.7,+0.000,+4.309
20,bench_20_3,50%,0.5000,150.00,300.0,-39178.5,-35462.0,-35142.8,-35142.8,-35024.7,+0.337,+11.860
20,bench_20_4,50%,0.5000,150.00,300.0,-37543.5,-37063.2,-37080.4,-37063.2,-35251.9,+5.138,+6.501
30,bench_30_1,5%,0.0500,22.50,450.0,-43097.9,-36268.6,-36395.9,-36268.6,-33388.1,+8.627,+29.082
30,bench_30_2,5%,0.0500,22.50,450.0,-60158.0,-37933.1,-38297.4,-37933.1,-37027.1,+2.447,+62.470
30,bench_30_3,5%,0.0500,22.50,450.0,-49025.9,-42550.3,-41343.9,-41343.9,-39126.8,+5.666,+25.300
30,bench_30_4,5%,0.0500,22.50,450.0,-47751.3,-40676.9,-40637.9,-40637.9,-37664.8,+7.894,+26.780
30,bench_30_1,10%,0.1000,45.00,450.0,-43097.9,-36268.6,-36395.9,-36268.6,-33388.1,+8.627,+29.082
30,bench_30_2,10%,0.1000,45.00,450.0,-60158.0,-37933.1,-38596.6,-37933.1,-37027.1,+2.447,+62.470
30,bench_30_3,10%,0.1000,45.00,450.0,-49025.9,-42550.3,-39499.3,-39499.3,-39126.8,+0.952,+25.300
30,bench_30_4,10%,0.1000,45.00,450.0,-47751.3,-40676.9,-40637.9,-40637.9,-37664.8,+7.894,+26.780
30,bench_30_1,20%,0.2000,90.00,450.0,-43097.9,-35720.2,-33109.9,-33109.9,-33388.1,-0.833,+29.082
30,bench_30_2,20%,0.2000,90.00,450.0,-60158.0,-38966.6,-38596.6,-38596.6,-37027.1,+4.239,+62.470
30,bench_30_3,20%,0.2000,90.00,450.0,-49025.9,-41303.9,-39499.3,-39499.3,-39126.8,+0.952,+25.300
