method,dataset,n,layout,ED_frac,ED,d_max,instance,seed,status,objective,profit,rental,arrival,time_s,time_to_best_s,n_items,n_truck,n_drone,n_rendv,W_final,W_capacity,evals,reheats,error
SA,ttd300,50,4,0.75,281.0,375.0,ttd300_n50_L4_f075,0,ok,-31463.1708,39969.0,71432.1708,1428.6434,750.0948,750.0948,47,30,17,17,47210.0,113752.0,34641120,186,
VNS,ttd300,50,4,0.75,281.0,375.0,ttd300_n50_L4_f075,0,ok,-45354.9854,38723.0,84077.9854,1681.5597,750.0,186.6056,45,34,11,13,45200.0,113752.0,20294525,,
VNS,ttd300,50,3,0.75,284.0,379.0,ttd300_n50_L3_f075,0,ok,-45528.1083,39694.0,85222.1083,1704.4422,751.9196,274.8442,48,34,14,14,48241.0,113752.0,10114498,,
SA,ttd300,50,5,0.75,279.0,372.0,ttd300_n50_L5_f075,0,ok,-32361.6891,41663.0,74024.6891,1480.4938,750.0639,179.894,50,32,18,18,50221.0,113752.0,34035572,182,
SA,ttd300,50,1,1.0,374.0,374.0,ttd300_n50_L1_f100,0,ok,-27718.6505,40611.0,68329.6505,1366.593,750.1,750.0999,50,34,16,16,50238.0,113752.0,34790940,186,
VNS,ttd300,50,5,0.75,279.0,372.0,ttd300_n50_L5_f075,0,ok,-40435.7248,39958.0,80393.7248,1607.8745,750.5196,701.3744,47,35,12,12,47217.0,113752.0,14884281,,
VNS,ttd300,50,1,1.0,374.0,374.0,ttd300_n50_L1_f100,0,ok,-38268.8468,39559.0,77827.8468,1556.5569,750.1113,449.0471,48,38,10,10,48230.0,113752.0,19338271,,
SA,ttd300,50,2,1.0,343.0,343.0,ttd300_n50_L2_f100,0,ok,-28330.7426,41910.0,70240.7426,1404.8149,750.0918,750.0918,49,32,17,17,49247.0,113752.0,34824902,186,
VNS,ttd300,50,2,1.0,343.0,343.0,ttd300_n50_L2_f100,0,ok,-36460.5648,41910.0,78370.5648,1567.4113,750.2817,557.1172,49,39,10,10,49247.0,113752.0,15371671,,
SA,ttd300,50,3,1.0,379.0,379.0,ttd300_n50_L3_f100,0,ok,-38959.9956,39771.0,78730.9956,1574.6199,750.1641,750.1641,48,33,15,16,48239.0,113752.0,34823471,186,
VNS,ttd300,50,3,1.0,379.0,379.0,ttd300_n50_L3_f100,0,ok,-48840.4576,37921.0,86761.4576,1735.2292,750.0001,691.5938,45,36,9,10,45233.0,113752.0,13236301,,
SA,ttd300,50,4,1.0,375.0,375.0,ttd300_n50_L4_f100,0,ok,-32213.97,41483.0,73696.97,1473.9394,750.113,750.1129,50,35,15,15,50219.0,113752.0,34964754,187,
VNS,ttd300,50,4,1.0,375.0,375.0,ttd300_n50_L4_f100,0,ok,-47488.4913,38597.0,86085.4913,1721.7098,750.004,682.1108,45,34,11,12,45198.0,113752.0,14908564,,
SA,ttd300,50,5,1.0,372.0,372.0,ttd300_n50_L5_f100,0,ok,-33281.2413,40415.0,73696.2413,1473.9248,750.0673,361.2766,48,30,18,18,48217.0,113752.0,33963174,182,
VNS,ttd300,50,5,1.0,372.0,372.0,ttd300_n50_L5_f100,0,ok,-45404.7207,38709.0,84113.7207,1682.2744,750.4662,680.0495,45,37,8,10,45212.0,113752.0,15981349,,
SA,ttd300,75,1,0.25,94.0,374.0,ttd300_n75_L1_f025,0,ok,-44853.4191,57102.0,101955.4191,2039.1084,975.3731,975.3731,71,43,28,28,71295.0,170628.0,36112676,129,
VNS,ttd300,75,1,0.25,94.0,374.0,ttd300_n75_L1_f025,0,ok,-42232.1359,57164.0,99396.1359,1987.9227,975.0001,719.1885,71,41,30,30,71296.0,170628.0,91247063,,
SA,ttd300,75,2,0.25,97.0,387.0,ttd300_n75_L2_f025,0,ok,-33099.4911,64263.0,97362.4911,1947.2498,975.138,448.1182,74,46,28,28,74376.0,170628.0,35987669,129,
VNS,ttd300,75,2,0.25,97.0,387.0,ttd300_n75_L2_f025,0,ok,-33807.7189,64846.0,98653.7189,1973.0744,975.0001,942.0814,75,49,26,26,75382.0,170628.0,93508320,,
SA,ttd300,75,3,0.25,91.0,363.0,ttd300_n75_L3_f025,0,ok,-40453.4491,62788.0,103241.4491,2064.829,975.6813,975.6812,73,45,28,28,73370.0,170628.0,35930703,128,
VNS,ttd300,75,3,0.25,91.0,363.0,ttd300_n75_L3_f025,0,ok,-46234.9153,62754.0,108988.9153,2179.7783,975.0001,940.3748,73,55,18,18,73375.0,170628.0,80201317,,
SA,ttd300,75,4,0.25,88.0,354.0,ttd300_n75_L4_f025,0,ok,-36209.526,63016.0,99225.526,1984.5105,975.1394,631.1901,75,49,26,26,75307.0,170628.0,36313320,130,
VNS,ttd300,75,4,0.25,88.0,354.0,ttd300_n75_L4_f025,0,ok,-47875.666,61937.0,109812.666,2196.2533,975.0001,972.9414,73,56,17,18,73295.0,170628.0,53661847,,
SA,ttd300,75,5,0.25,100.0,398.0,ttd300_n75_L5_f025,0,ok,-44526.4716,62277.0,106803.4716,2136.0694,975.4878,975.4877,73,50,23,25,73306.0,170628.0,35570194,127,
VNS,ttd300,75,5,0.25,100.0,398.0,ttd300_n75_L5_f025,0,ok,-54429.9568,61598.0,116027.9568,2320.5591,975.9108,798.3876,72,60,12,14,72299.0,170628.0,26231011,,
SA,ttd300,75,1,0.5,187.0,374.0,ttd300_n75_L1_f050,0,ok,-31382.1317,58114.0,89496.1317,1789.9226,975.4948,975.4947,73,50,23,24,73309.0,170628.0,34130086,122,
VNS,ttd300,75,1,0.5,187.0,374.0,ttd300_n75_L1_f050,0,ok,-46851.7419,55944.0,102795.7419,2055.9148,975.6351,826.1134,69,58,11,13,69281.0,170628.0,27334828,,
SA,ttd300,75,2,0.5,194.0,387.0,ttd300_n75_L2_f050,0,ok,-26408.3043,64498.0,90906.3043,1818.1261,975.3631,975.363,74,50,24,24,74377.0,170628.0,33869572,120,
VNS,ttd300,75,2,0.5,194.0,387.0,ttd300_n75_L2_f050,0,ok,-28353.1618,64021.0,92374.1618,1847.4832,975.0001,952.2557,73,47,26,27,73368.0,170628.0,55378280,,
