n,ED_frac,param,value,n_layouts,objective,rental,arrival,n_truck,n_drone,n_rendv,n_items,profit,time_to_best_s,evals
10,1.0,R,1,1,7801.9,771.1,771.1,5.0,5.0,5.0,10.0,8573.0,1.9,14268302.0
10,1.0,R,100,1,-66000.1,71201.1,712.0,3.0,3.0,5.0,6.0,5201.0,12.7,13824876.0
10,1.0,R,12.5,1,-1065.8,9638.8,771.1,5.0,5.0,5.0,10.0,8573.0,2.9,13693798.0
10,1.0,R,200,1,-134992.3,136611.3,683.1,1.0,1.0,5.0,2.0,1619.0,5.4,13991375.0
10,1.0,R,25,1,-10704.6,19277.6,771.1,5.0,5.0,5.0,10.0,8573.0,0.1,13431027.0
10,1.0,R,50,1,-29669.8,37518.8,750.4,4.0,5.0,5.0,9.0,7849.0,5.0,13886470.0
10,1.0,Wcap,0.25,1,-32989.5,34608.5,692.2,1.0,1.0,5.0,2.0,1619.0,0.2,14441865.0
10,1.0,Wcap,0.5,1,-32305.0,35800.0,716.0,2.0,2.0,5.0,4.0,3495.0,5.4,14132141.0
10,1.0,Wcap,1,1,-29669.8,37518.8,750.4,4.0,5.0,5.0,9.0,7849.0,5.1,13829897.0
10,1.0,Wcap,2,1,-27765.4,36338.4,726.8,5.0,5.0,5.0,10.0,8573.0,0.5,13741980.0
10,1.0,Wcap,4,1,-26526.3,35099.3,702.0,5.0,5.0,5.0,10.0,8573.0,1.9,14038295.0
10,1.0,baseline,-,1,-29669.8,37518.8,750.4,4.0,5.0,5.0,9.0,7849.0,5.0,13948944.0
10,1.0,vDfact,0.5,1,-40142.3,45318.3,906.4,5.0,1.0,1.0,6.0,5176.0,0.4,19086498.0
10,1.0,vDfact,1,1,-36643.8,43666.8,873.3,5.0,3.0,4.0,8.0,7023.0,12.3,16524716.0
10,1.0,vDfact,2,1,-29669.8,37518.8,750.4,4.0,5.0,5.0,9.0,7849.0,5.0,13948963.0
10,1.0,vDfact,3,1,-28486.2,34628.2,692.6,4.0,3.0,5.0,7.0,6142.0,1.9,13532331.0
10,1.0,vDfact,4,1,-28376.3,33540.3,670.8,3.0,3.0,5.0,6.0,5164.0,25.8,13480305.0
10,1.0,vmin,0.05,1,-29825.5,37674.5,753.5,4.0,5.0,5.0,9.0,7849.0,2.2,13861506.0
10,1.0,vmin,0.1,1,-29669.8,37518.8,750.4,4.0,5.0,5.0,9.0,7849.0,4.9,13943807.0
10,1.0,vmin,0.25,1,-29193.3,37766.3,755.3,5.0,5.0,5.0,10.0,8573.0,0.5,14017096.0
10,1.0,vmin,0.5,1,-28067.7,36640.7,732.8,5.0,5.0,5.0,10.0,8573.0,1.9,13421203.0
10,1.0,vmin,0.9,1,-25911.6,34484.6,689.7,5.0,5.0,5.0,10.0,8573.0,0.2,13818262.0
20,0.25,R,1,1,16038.6,1484.4,1484.4,14.0,6.0,6.0,20.0,17523.0,1.4,29965385.0
20,0.25,R,100,1,-121756.6,132900.6,1329.0,8.0,5.0,6.0,13.0,11144.0,7.3,30730675.0
20,0.25,R,12.5,1,-1032.5,18555.5,1484.4,14.0,6.0,6.0,20.0,17523.0,5.1,29740514.0
20,0.25,R,200,1,-252461.5,258428.5,1292.1,5.0,2.0,6.0,7.0,5967.0,3.0,31097843.0
20,0.25,R,25,1,-19588.0,37111.0,1484.4,14.0,6.0,6.0,20.0,17523.0,2.9,29170385.0
20,0.25,R,50,1,-54904.8,67878.8,1357.6,10.0,5.0,6.0,15.0,12974.0,5.2,30233417.0
20,0.25,Wcap,0.25,1,-60190.2,65315.2,1306.3,4.0,2.0,6.0,6.0,5125.0,10.6,31275869.0
20,0.25,Wcap,0.5,1,-58308.5,67714.5,1354.3,6.0,5.0,6.0,11.0,9406.0,3.4,30606020.0
