factor,dataset,n,layout,ED_frac,ED,d_max,instance,seed,status,objective,profit,rental,arrival,time_s,time_to_best_s,n_items,n_truck,n_drone,n_rendv,W_final,W_capacity,evals,reheats,error,vD
3,ttd300,30,1,0.25,94.0,374.0,ttd300_n30_L1_f025,1,ok,-51843.4432,21425.0,73268.4432,1465.3689,450.458,450.458,25,18,7,9,25122.0,68251.0,34334314,304,,3.0
0,ttd300,30,1,0.5,187.0,374.0,ttd300_n30_L1_f050,1,ok,-69372.8813,14171.0,83543.8813,1670.8776,450.0216,0.0739,16,16,0,0,16085.0,68251.0,43198204,383,,1e-06
0.5,ttd300,30,1,0.5,187.0,374.0,ttd300_n30_L1_f050,1,ok,-55511.9793,19055.0,74566.9793,1491.3396,450.0745,314.5733,22,18,4,4,22110.0,68251.0,36944718,327,,0.5
1,ttd300,30,1,0.5,187.0,374.0,ttd300_n30_L1_f050,1,ok,-47022.819,22951.0,69973.819,1399.4764,450.7422,450.7421,27,20,7,8,27130.0,68251.0,33246111,294,,1.0
2,ttd300,30,1,0.5,187.0,374.0,ttd300_n30_L1_f050,1,ok,-36714.6248,24492.0,61206.6248,1224.1325,450.0158,104.9116,29,16,13,13,29150.0,68251.0,30034664,265,,2.0
3,ttd300,30,1,0.5,187.0,374.0,ttd300_n30_L1_f050,1,ok,-33952.1478,24492.0,58444.1478,1168.883,450.0139,369.7162,29,15,14,14,29150.0,68251.0,29361225,259,,3.0
0,ttd300,30,1,0.75,280.0,374.0,ttd300_n30_L1_f075,1,ok,-69372.8813,14171.0,83543.8813,1670.8776,450.0251,0.0763,16,16,0,0,16085.0,68251.0,45121798,400,,1e-06
0.5,ttd300,30,1,0.75,280.0,374.0,ttd300_n30_L1_f075,1,ok,-54492.3213,18966.0,73458.3213,1469.1664,450.1431,406.6391,22,19,3,4,22116.0,68251.0,38284395,339,,0.5
3,ttd300,30,1,0.75,280.0,374.0,ttd300_n30_L1_f075,1,ok,-24689.1604,24668.0,49357.1604,987.1432,450.013,358.698,29,15,14,15,29146.0,68251.0,28498655,252,,3.0
2,ttd300,30,1,0.75,280.0,374.0,ttd300_n30_L1_f075,1,ok,-30403.5404,24668.0,55071.5404,1101.4308,450.2085,450.2085,29,18,11,11,29146.0,68251.0,29996735,265,,2.0
1,ttd300,30,1,0.75,280.0,374.0,ttd300_n30_L1_f075,1,ok,-44406.2195,23404.0,67810.2195,1356.2044,450.5892,450.5892,27,20,7,7,27136.0,68251.0,33391844,295,,1.0
0,ttd300,30,1,1.0,374.0,374.0,ttd300_n30_L1_f100,1,ok,-69372.8813,14171.0,83543.8813,1670.8776,450.0242,0.079,16,16,0,0,16085.0,68251.0,46390191,411,,1e-06
0.5,ttd300,30,1,1.0,374.0,374.0,ttd300_n30_L1_f100,1,ok,-51687.3319,21558.0,73245.3319,1464.9066,450.0923,4.057,25,23,2,3,25122.0,68251.0,38801646,343,,0.5
2,ttd300,30,1,1.0,374.0,374.0,ttd300_n30_L1_f100,1,ok,-29843.0387,25223.0,55066.0387,1101.3208,450.0159,116.2495,30,16,14,14,30154.0,68251.0,29935836,264,,2.0
