factor,dataset,n,layout,ED_frac,ED,d_max,instance,seed,status,objective,profit,rental,arrival,time_s,time_to_best_s,n_items,n_truck,n_drone,n_rendv,W_final,W_capacity,evals,reheats,error,vD
2,ttd300,100,1,0.5,196.0,393.0,ttd300_n100_L1_f050,1,ok,-36373.4734,83464.0,119837.4734,2396.7495,1200.7649,1200.7649,99,68,31,31,99489.0,227504.0,35391103,94,,2.0
3,ttd300,100,1,0.5,196.0,393.0,ttd300_n100_L1_f050,1,ok,-27589.5153,83677.0,111266.5153,2225.3303,1200.527,1200.5269,99,66,33,34,99488.0,227504.0,35007489,93,,3.0
0,ttd300,100,1,0.75,295.0,393.0,ttd300_n100_L1_f075,1,ok,-86892.6966,78007.0,164899.6966,3297.9939,1201.1789,1201.1788,89,89,0,0,89451.0,227504.0,48614847,131,,1e-06
0.5,ttd300,100,1,0.75,295.0,393.0,ttd300_n100_L1_f075,1,ok,-61686.1944,81707.0,143393.1944,2867.8639,1240.2901,1240.2901,95,86,9,10,95472.0,227504.0,16701773,43,,0.5
1,ttd300,100,1,0.75,295.0,393.0,ttd300_n100_L1_f075,1,ok,-51361.5652,83198.0,134559.5652,2691.1913,1200.6725,1200.6725,98,83,15,16,98488.0,227504.0,37548137,100,,1.0
2,ttd300,100,1,0.75,295.0,393.0,ttd300_n100_L1_f075,1,ok,-32453.3845,82708.0,115161.3845,2303.2277,1200.4843,1200.4842,97,72,25,25,97483.0,227504.0,35389097,94,,2.0
3,ttd300,100,1,0.75,295.0,393.0,ttd300_n100_L1_f075,1,ok,-35352.3873,83943.0,119295.3873,2385.9077,1200.635,1200.6349,100,65,35,35,100489.0,227504.0,34310995,91,,3.0
0,ttd300,100,1,1.0,393.0,393.0,ttd300_n100_L1_f100,1,ok,-88827.2163,78659.0,167486.2163,3349.7243,1200.7029,1200.7029,90,90,0,0,90453.0,227504.0,49578845,134,,1e-06
1,ttd300,100,1,1.0,393.0,393.0,ttd300_n100_L1_f100,1,ok,-50633.9457,83251.0,133884.9457,2677.6989,1200.4582,1200.4582,98,85,13,13,98488.0,227504.0,36525757,98,,1.0
2,ttd300,100,1,1.0,393.0,393.0,ttd300_n100_L1_f100,1,ok,-38667.296,83251.0,121918.296,2438.3659,1201.6492,1201.6491,98,67,31,31,98488.0,227504.0,34873031,93,,2.0
3,ttd300,100,1,1.0,393.0,393.0,ttd300_n100_L1_f100,1,ok,-34006.5371,83943.0,117949.5371,2358.9907,1200.2921,1096.8929,100,63,37,37,100489.0,227504.0,34338492,92,,3.0
0.5,ttd300,100,1,1.0,393.0,393.0,ttd300_n100_L1_f100,1,ok,-57663.6859,80489.0,138152.6859,2763.0537,1719.3314,1719.3313,93,83,10,10,93460.0,227504.0,7256924,17,,0.5
