n,ED_frac,factor,n_layouts,objective,rental,arrival,n_truck,n_drone,n_rendv,n_items,profit,time_to_best_s,evals
75,0.75,0.5,1,-54265.5,112379.5,2247.6,65.0,8.0,8.0,73.0,58114.0,1014.8,40248629.0
75,0.75,1.0,1,-45282.8,103396.8,2067.9,58.0,15.0,15.0,73.0,58114.0,323.3,37953031.0
75,0.75,2.0,1,-34560.7,93448.7,1869.0,52.0,23.0,23.0,75.0,58888.0,975.4,35969218.0
75,0.75,3.0,1,-27905.8,85499.8,1710.0,46.0,26.0,28.0,72.0,57594.0,975.5,34528204.0
75,1.0,0.0,1,-80272.5,135089.5,2701.8,68.0,0.0,0.0,68.0,54817.0,975.4,51463824.0
75,1.0,0.5,1,-55126.4,110705.4,2214.1,61.0,7.0,7.0,68.0,55579.0,1005.5,42319771.0
75,1.0,1.0,1,-46100.1,103330.1,2066.6,56.0,15.0,15.0,71.0,57230.0,975.3,39256454.0
75,1.0,2.0,1,-31553.7,90441.7,1808.8,53.0,22.0,22.0,75.0,58888.0,975.6,35838829.0
75,1.0,3.0,1,-27110.9,84798.9,1696.0,46.0,26.0,27.0,72.0,57688.0,975.3,34862269.0
100,0.25,0.0,1,-74047.4,156146.4,3122.9,96.0,0.0,0.0,96.0,82099.0,1044.1,46034543.0
100,0.25,0.5,1,-65018.1,144875.1,2897.5,82.0,10.0,10.0,92.0,79857.0,1201.3,40738485.0
100,0.25,1.0,1,-55172.1,137935.1,2758.7,78.0,19.0,20.0,97.0,82763.0,1200.8,39002626.0
100,0.25,2.0,1,-44719.5,127429.5,2548.6,66.0,31.0,31.0,97.0,82710.0,1200.5,37562403.0
100,0.25,3.0,1,-40429.7,123618.7,2472.4,69.0,29.0,30.0,98.0,83189.0,1200.4,37549218.0
100,0.5,0.0,1,-89452.6,168111.6,3362.2,90.0,0.0,0.0,90.0,78659.0,1200.7,46412200.0
100,0.5,0.5,1,-62420.2,143464.2,2869.3,85.0,9.0,9.0,94.0,81044.0,1310.6,23038318.0
100,0.5,1.0,1,-51199.6,134876.6,2697.5,81.0,18.0,18.0,99.0,83677.0,1200.5,36864011.0
100,0.5,2.0,1,-36373.5,119837.5,2396.7,68.0,31.0,31.0,99.0,83464.0,1200.8,35391103.0
100,0.5,3.0,1,-27589.5,111266.5,2225.3,66.0,33.0,34.0,99.0,83677.0,1200.5,35007489.0
100,0.75,0.0,1,-86892.7,164899.7,3298.0,89.0,0.0,0.0,89.0,78007.0,1201.2,48614847.0
100,0.75,0.5,1,-61686.2,143393.2,2867.9,86.0,9.0,10.0,95.0,81707.0,1240.3,16701773.0
100,0.75,1.0,1,-51361.6,134559.6,2691.2,83.0,15.0,16.0,98.0,83198.0,1200.7,37548137.0
100,0.75,2.0,1,-32453.4,115161.4,2303.2,72.0,25.0,25.0,97.0,82708.0,1200.5,35389097.0
100,0.75,3.0,1,-35352.4,119295.4,2385.9,65.0,35.0,35.0,100.0,83943.0,1200.6,34310995.0
100,1.0,0.0,1,-88827.2,167486.2,3349.7,90.0,0.0,0.0,90.0,78659.0,1200.7,49578845.0
100,1.0,0.5,1,-57663.7,138152.7,2763.1,83.0,10.0,10.0,93.0,80489.0,1719.3,7256924.0
100,1.0,1.0,1,-50633.9,133884.9,2677.7,85.0,13.0,13.0,98.0,83251.0,1200.5,36525757.0
100,1.0,2.0,1,-38667.3,121918.3,2438.4,67.0,31.0,31.0,98.0,83251.0,1201.6,34873031.0
100,1.0,3.0,1,-34006.5,117949.5,2359.0,63.0,37.0,37.0,100.0,83943.0,1096.9,34338492.0
