param,value,objective,rental,arrival,time_s,gap_%,n_truck,n_drone,n_rendv,n_items,profit,R,Wcap,vmin,vD,W_final,truck_node_ids,drone_node_ids,rendezvous_node_ids
Wcap,2.0x,-27493.5162,53885.5162,741.2038,450.2816,,20,10,10,30,26392.0,72.7,136502.0,0.1,2.0,30140.0,"[27, 28, 25, 23, 22, 20, 21, 19, 13, 14, 15, 11, 16, 17, 7, 6, 5, 30, 31, 2]","[26, 24, 9, 12, 10, 8, 18, 4, 29, 3]","[23, 22, 13, 11, 16, 17, 5, 30, 31, 1]"
Wcap,4.0x,-26308.053,52700.053,724.8976,450.4587,,19,11,11,30,26392.0,72.7,273004.0,0.1,2.0,30140.0,"[2, 31, 28, 25, 23, 22, 20, 21, 19, 13, 14, 11, 8, 17, 7, 6, 5, 4, 3]","[27, 26, 29, 24, 16, 15, 12, 9, 10, 30, 18]","[31, 25, 23, 22, 19, 13, 11, 8, 6, 4, 1]"
vmin,0.05,-34280.3936,59131.3936,813.3617,450.513,,18,10,11,28,24851.0,72.7,68251.0,0.05,2.0,28131.0,"[27, 28, 26, 23, 22, 21, 19, 13, 14, 15, 11, 16, 17, 7, 6, 30, 31, 2]","[29, 24, 9, 12, 10, 8, 4, 5, 18, 3]","[23, 22, 21, 14, 11, 16, 17, 6, 30, 2, 1]"
vmin,0.1,-35081.3565,60860.3565,837.1438,450.0219,,16,13,13,29,25779.0,72.7,68251.0,0.1,2.0,29134.0,"[30, 6, 7, 17, 8, 11, 15, 14, 13, 19, 21, 20, 23, 25, 28, 2]","[4, 5, 18, 9, 12, 10, 16, 22, 29, 24, 26, 31, 27]","[6, 17, 8, 11, 14, 19, 21, 20, 23, 25, 28, 2, 1]"
vmin,0.25,-31639.1149,57418.1149,789.7953,450.4629,,18,11,11,29,25779.0,72.7,68251.0,0.25,2.0,29134.0,"[30, 6, 7, 17, 8, 11, 15, 14, 13, 19, 21, 20, 22, 23, 25, 28, 31, 2]","[4, 5, 9, 10, 12, 16, 18, 24, 26, 29, 27]","[6, 17, 8, 11, 13, 19, 22, 23, 28, 2, 1]"
vmin,0.5,-28262.6609,54654.6609,751.7835,450.8608,,18,12,12,30,26392.0,72.7,68251.0,0.5,2.0,30140.0,"[27, 28, 23, 22, 20, 21, 19, 13, 14, 15, 11, 8, 17, 7, 6, 30, 31, 2]","[26, 29, 24, 18, 16, 12, 9, 10, 4, 5, 25, 3]","[28, 23, 20, 19, 14, 11, 8, 17, 6, 30, 31, 1]"
vmin,0.9,-25022.8578,51414.8578,707.2195,450.0165,,17,13,13,30,26392.0,72.7,68251.0,0.9,2.0,30140.0,"[27, 28, 25, 23, 22, 21, 19, 13, 14, 11, 10, 8, 17, 7, 6, 30, 3]","[31, 26, 29, 24, 20, 18, 12, 15, 9, 16, 4, 5, 2]","[27, 25, 23, 22, 21, 13, 11, 10, 8, 7, 30, 3, 1]"
vDfact,0.5,-51146.1499,73886.1499,1016.3157,450.1051,,22,3,3,25,22740.0,72.7,68251.0,0.1,0.5,25104.0,"[4, 30, 6, 8, 9, 12, 11, 15, 14, 13, 19, 21, 20, 22, 23, 24, 26, 25, 28, 29, 31, 2]","[16, 18, 27]","[15, 28, 1]"
vDfact,1.0,-41530.0269,67309.0269,925.8463,455.5518,,20,9,9,29,25779.0,72.7,68251.0,0.1,1.0,29134.0,"[4, 5, 7, 17, 8, 9, 10, 11, 15, 14, 13, 19, 21, 22, 20, 23, 25, 28, 27, 2]","[30, 6, 16, 12, 18, 24, 26, 29, 31]","[5, 17, 10, 14, 22, 23, 28, 2, 1]"
vDfact,2.0,-35081.3565,60860.3565,837.1438,450.0171,,16,13,13,29,25779.0,72.7,68251.0,0.1,2.0,29134.0,"[30, 6, 7, 17, 8, 11, 15, 14, 13, 19, 21, 20, 23, 25, 28, 2]","[4, 5, 18, 9, 12, 10, 16, 22, 29, 24, 26, 31, 27]","[6, 17, 8, 11, 14, 19, 21, 20, 23, 25, 28, 2, 1]"
vDfact,3.0,-30302.7876,56036.7876,770.7949,450.0163,,15,14,14,29,25734.0,72.7,68251.0,0.1,3.0,29134.0,"[30, 6, 16, 11, 15, 14, 13, 19, 21, 20, 23, 25, 28, 31, 2]","[7, 5, 8, 10, 12, 9, 24, 22, 18, 29, 26, 4, 27, 3]","[30, 17, 16, 11, 14, 19, 21, 20, 23, 25, 28, 31, 2, 1]"
vDfact,4.0,-28111.0166,54503.0166,749.6976,450.0141,,15,15,15,30,26392.0,72.7,68251.0,0.1,4.0,30140.0,"[25, 23, 20, 21, 19, 13, 14, 15, 16, 17, 7, 6, 30, 31, 2]","[27, 24, 26, 22, 11, 12, 10, 9, 28, 18, 5, 4, 8, 3, 29]","[25, 23, 20, 21, 19, 13, 15, 16, 17, 7, 6, 30, 31, 2, 1]"
