n,instance,MILP_best,MILP_avg,MILP_time_s,SA_best,SA_avg,SA_time_s,VNS_best,VNS_avg,VNS_time_s,MLP_best,MLP_avg,MLP_time_s,GAT_best,GAT_avg,GAT_time_s,MILP_gap_vs_BKS_%,SA_gap_vs_BKS_%,VNS_gap_vs_BKS_%,MLP_gap_vs_BKS_%,GAT_gap_vs_BKS_%,BKS,best_method,LISA_best,LISA_avg,LISA_gap_vs_BKS_%
50,bench_50_3,,,,-39688.32,-40655.23,750.14,-48522.11,-51832.75,750.43,-45380.36,-45380.36,40.2,-48110.72,-48110.72,41.8,,0.0,22.26,14.34,21.22,-39688.32,SA,-41124.3,-41124.3,3.618
50,bench_50_4,,,,-35458.63,-38438.31,750.14,-47719.19,-51382.02,750.37,-42414.86,-42414.86,39.6,-46132.84,-46132.84,40.5,,0.0,34.58,19.62,30.1,-35458.63,SA,-38577.0,-38577.0,8.794
50,mean,-,-,-,-36965.3375,-38631.7325,750.125,-46926.335,-51736.9625,750.3675,-44019.435,-44019.435,40.625,-44329.6475,-44329.6475,41.6,-,0.0,27.0725,19.1225,19.915,-36965.3375,-,-38482.05,-38482.05,4.1765
5,bench_5_5,-16725.35,-16725.35,1.393,-16725.35,-16725.35,10,-16725.35,-16725.35,10,-17577.66,-17577.66,4.83,-17383.35,-17383.35,5.09,0.00,0.00,0.00,5.10,3.93,-16725.35,MILP,-16725.4,-16725.4,0.000
10,bench_10_5,-32684.7,-32684.7,46.271,-32684.63,-32684.63,30,-32684.63,-32684.63,30,-33790.43,-33790.43,16.43,-32684.63,-32684.63,17.34,0.00,0.00,0.00,3.38,0.00,-32684.63,SA,-32684.6,-32684.6,-0.000
15,bench_15_5,-33383.138,-33383.138,82847,-33375.7,-33375.7,120,-35483.47,-34078.29,120,-38700.42,-38700.42,234.54,-38631.44,-38631.44,229.0,0.02,0.00,6.32,15.95,15.75,-33375.7,SA,-33375.7,-33375.7,0.000
20,bench_20_5,-37703.222,-37703.222,82971,-38087.24,-37827.4,300,-38101.37,-37953.35,300,-39437.38,-39437.38,60.66,-39785.79,-39785.79,51.4,0.00,1.02,1.06,4.60,5.52,-37703.222,MILP,-37723.7,-37723.7,0.054
30,bench_30_5,,,,-37644.59,-37644.59,450,-41044.49,-41044.49,450,-40028.95,-40028.95,174.23,-39732.4,-39732.4,163.2,,0.00,9.03,6.33,5.55,-37644.59,SA,-37644.6,-37644.6,0.000
40,bench_40_5,,,,-34347.04,-34347.04,600,-42996.3,-42996.3,600,-38555.01,-38555.01,405.96,-36649.65,-36649.65,383.19,,0.00,25.18,12.25,6.70,-34347.04,SA,-34307.9,-34307.9,-0.114
50,bench_50_5,,,,-35365.74,-35365.74,750,-50406.98,-50406.98,750,-41193.62,-41193.62,663.5,-38819.71,-38819.71,700.68,,0.00,42.53,16.48,9.77,-35365.74,SA,-35219.6,-35219.6,-0.413
