method,n,layout,frac,instance,ED,objective,time_s,seed,beam,source
VNS,20,1,f025,ttd300_n20_L1_f025,96.0,-54904.7824,300.0,0,,SA and VNS.csv
VNS,20,3,f025,ttd300_n20_L3_f025,89.0,-56881.5195,300.0,0,,SA and VNS.csv
VNS,20,4,f025,ttd300_n20_L4_f025,82.0,-48586.3479,300.0,0,,SA and VNS.csv
VNS,20,2,f025,ttd300_n20_L2_f025,75.0,-40691.1572,300.004,0,,SA and VNS.csv
VNS,20,5,f025,ttd300_n20_L5_f025,90.0,-55473.1357,300.0,0,,SA and VNS.csv
VNS,20,1,f050,ttd300_n20_L1_f050,192.0,-49060.5145,300.0027,0,,SA and VNS.csv
VNS,20,2,f050,ttd300_n20_L2_f050,150.0,-30008.7763,300.0572,0,,SA and VNS.csv
VNS,20,3,f050,ttd300_n20_L3_f050,178.0,-41196.6673,300.0673,0,,SA and VNS.csv
VNS,20,5,f050,ttd300_n20_L5_f050,180.0,-43818.6116,300.0261,0,,SA and VNS.csv
VNS,20,4,f050,ttd300_n20_L4_f050,164.0,-35825.5306,300.0471,0,,SA and VNS.csv
VNS,20,1,f075,ttd300_n20_L1_f075,288.0,-33317.762,300.0068,0,,SA and VNS.csv
VNS,20,2,f075,ttd300_n20_L2_f075,224.0,-23628.1266,300.0,0,,SA and VNS.csv
VNS,20,3,f075,ttd300_n20_L3_f075,268.0,-29807.7086,300.0,0,,SA and VNS.csv
VNS,20,4,f075,ttd300_n20_L4_f075,246.0,-26938.013,300.0008,0,,SA and VNS.csv
VNS,20,5,f075,ttd300_n20_L5_f075,270.0,-33232.5669,300.0021,0,,SA and VNS.csv
VNS,20,1,f100,ttd300_n20_L1_f100,384.0,-27599.1875,300.0025,0,,SA and VNS.csv
VNS,20,2,f100,ttd300_n20_L2_f100,299.0,-22887.8817,300.0015,0,,SA and VNS.csv
VNS,20,3,f100,ttd300_n20_L3_f100,357.0,-27853.9042,300.0041,0,,SA and VNS.csv
VNS,20,5,f100,ttd300_n20_L5_f100,360.0,-29856.4348,300.0143,0,,SA and VNS.csv
VNS,20,4,f100,ttd300_n20_L4_f100,328.0,-26839.4334,300.0209,0,,SA and VNS.csv
VNS,30,1,f025,ttd300_n30_L1_f025,94.0,-52332.7778,450.0197,0,,SA and VNS.csv
VNS,30,2,f025,ttd300_n30_L2_f025,93.0,-42801.8218,450.0078,0,,SA and VNS.csv
SA,30,2,f025,ttd300_n30_L2_f025,93.0,-42801.8218,450.0704,0,,SA and VNS.csv
SA,30,1,f025,ttd300_n30_L1_f025,94.0,-52332.7778,450.2353,0,,SA and VNS.csv
VNS,30,3,f025,ttd300_n30_L3_f025,80.0,-48763.3614,450.0194,0,,SA and VNS.csv
SA,30,4,f025,ttd300_n30_L4_f025,87.0,-49102.4367,450.0259,0,,SA and VNS.csv
SA,30,3,f025,ttd300_n30_L3_f025,80.0,-48249.3926,450.1623,0,,SA and VNS.csv
VNS,30,4,f025,ttd300_n30_L4_f025,87.0,-49102.4367,450.0001,0,,SA and VNS.csv
VNS,30,5,f025,ttd300_n30_L5_f025,83.0,-44665.0907,450.0071,0,,SA and VNS.csv
SA,30,1,f050,ttd300_n30_L1_f050,187.0,-35861.5591,450.016,0,,SA and VNS.csv
VNS,30,1,f050,ttd300_n30_L1_f050,187.0,-37177.5024,450.0059,0,,SA and VNS.csv
SA,30,5,f025,ttd300_n30_L5_f025,83.0,-45123.4728,450.2245,0,,SA and VNS.csv
SA,30,2,f050,ttd300_n30_L2_f050,186.0,-37732.8187,450.0147,0,,SA and VNS.csv
VNS,30,2,f050,ttd300_n30_L2_f050,186.0,-37836.8522,450.0,0,,SA and VNS.csv
SA,30,3,f050,ttd300_n30_L3_f050,160.0,-31940.8619,450.0297,0,,SA and VNS.csv
VNS,30,3,f050,ttd300_n30_L3_f050,160.0,-30592.3865,450.0029,0,,SA and VNS.csv
SA,30,4,f050,ttd300_n30_L4_f050,174.0,-33491.447,450.0162,0,,SA and VNS.csv
VNS,30,4,f050,ttd300_n30_L4_f050,174.0,-35380.2186,450.0048,0,,SA and VNS.csv
SA,30,5,f050,ttd300_n30_L5_f050,166.0,-32133.4911,450.0257,0,,SA and VNS.csv
VNS,30,5,f050,ttd300_n30_L5_f050,166.0,-35261.228,450.0,0,,SA and VNS.csv
VNS,30,1,f075,ttd300_n30_L1_f075,280.0,-29716.865,450.0,0,,SA and VNS.csv
VNS,30,2,f075,ttd300_n30_L2_f075,279.0,-36206.6379,450.0051,0,,SA and VNS.csv
SA,30,2,f075,ttd300_n30_L2_f075,279.0,-35117.1495,450.302,0,,SA and VNS.csv
SA,30,1,f075,ttd300_n30_L1_f075,280.0,-30520.0689,450.6116,0,,SA and VNS.csv
VNS,30,3,f075,ttd300_n30_L3_f075,241.0,-27647.3686,450.0012,0,,SA and VNS.csv
SA,30,3,f075,ttd300_n30_L3_f075,241.0,-27885.2212,450.3737,0,,SA and VNS.csv
SA,30,4,f075,ttd300_n30_L4_f075,260.0,-29952.1239,450.1131,0,,SA and VNS.csv
VNS,30,4,f075,ttd300_n30_L4_f075,260.0,-29667.9386,450.0,0,,SA and VNS.csv
SA,30,5,f075,ttd300_n30_L5_f075,248.0,-32152.1612,450.0169,0,,SA and VNS.csv
VNS,30,5,f075,ttd300_n30_L5_f075,248.0,-30278.7767,450.003,0,,SA and VNS.csv
VNS,30,1,f100,ttd300_n30_L1_f100,374.0,-29094.864,450.0387,0,,SA and VNS.csv
SA,30,1,f100,ttd300_n30_L1_f100,374.0,-29291.5384,450.417,0,,SA and VNS.csv
VNS,30,2,f100,ttd300_n30_L2_f100,372.0,-36206.6379,450.0224,0,,SA and VNS.csv
SA,30,3,f100,ttd300_n30_L3_f100,321.0,-27383.6167,450.2824,0,,SA and VNS.csv
VNS,30,3,f100,ttd300_n30_L3_f100,321.0,-28097.2283,450.0673,0,,SA and VNS.csv
SA,30,2,f100,ttd300_n30_L2_f100,372.0,-35493.6604,451.0436,0,,SA and VNS.csv
VNS,30,4,f100,ttd300_n30_L4_f100,347.0,-28969.455,450.0361,0,,SA and VNS.csv
VNS,30,5,f100,ttd300_n30_L5_f100,331.0,-33025.0487,450.0103,0,,SA and VNS.csv
SA,30,4,f100,ttd300_n30_L4_f100,347.0,-29312.4111,451.0544,0,,SA and VNS.csv
SA,30,5,f100,ttd300_n30_L5_f100,331.0,-30523.2378,450.783,0,,SA and VNS.csv
SA,40,1,f025,ttd300_n40_L1_f025,94.0,-44076.4507,600.0343,0,,SA and VNS.csv
VNS,40,1,f025,ttd300_n40_L1_f025,94.0,-43857.6731,600.0,0,,SA and VNS.csv
SA,40,2,f025,ttd300_n40_L2_f025,80.0,-47032.8489,600.0877,0,,SA and VNS.csv
VNS,40,2,f025,ttd300_n40_L2_f025,80.0,-48643.9757,600.0001,0,,SA and VNS.csv
SA,40,3,f025,ttd300_n40_L3_f025,96.0,-53722.7193,600.0314,0,,SA and VNS.csv
VNS,40,3,f025,ttd300_n40_L3_f025,96.0,-53186.9117,600.0,0,,SA and VNS.csv
SA,40,4,f025,ttd300_n40_L4_f025,91.0,-50897.7004,600.033,0,,SA and VNS.csv
VNS,40,4,f025,ttd300_n40_L4_f025,91.0,-51053.5309,600.0252,0,,SA and VNS.csv
SA,40,5,f025,ttd300_n40_L5_f025,100.0,-46288.6623,600.0564,0,,SA and VNS.csv
VNS,40,5,f025,ttd300_n40_L5_f025,100.0,-47928.03,600.0226,0,,SA and VNS.csv
SA,40,1,f050,ttd300_n40_L1_f050,189.0,-33047.7737,600.0342,0,,SA and VNS.csv
VNS,40,1,f050,ttd300_n40_L1_f050,189.0,-35171.3552,600.0761,0,,SA and VNS.csv
SA,40,2,f050,ttd300_n40_L2_f050,160.0,-32688.6174,600.0878,0,,SA and VNS.csv
VNS,40,2,f050,ttd300_n40_L2_f050,160.0,-38786.2328,600.1026,0,,SA and VNS.csv
SA,40,3,f050,ttd300_n40_L3_f050,191.0,-40771.0469,600.0366,0,,SA and VNS.csv
VNS,40,3,f050,ttd300_n40_L3_f050,191.0,-41004.8918,600.1269,0,,SA and VNS.csv
SA,40,4,f050,ttd300_n40_L4_f050,182.0,-31975.2517,600.0382,0,,SA and VNS.csv
VNS,40,4,f050,ttd300_n40_L4_f050,182.0,-37152.1264,600.0828,0,,SA and VNS.csv
SA,40,5,f050,ttd300_n40_L5_f050,200.0,-35630.0424,600.0374,0,,SA and VNS.csv
VNS,40,5,f050,ttd300_n40_L5_f050,200.0,-38001.3868,600.0251,0,,SA and VNS.csv
SA,40,1,f075,ttd300_n40_L1_f075,284.0,-33487.557,600.0422,0,,SA and VNS.csv
VNS,40,1,f075,ttd300_n40_L1_f075,284.0,-34286.0002,600.0,0,,SA and VNS.csv
SA,40,2,f075,ttd300_n40_L2_f075,241.0,-30925.4838,600.037,0,,SA and VNS.csv
VNS,40,2,f075,ttd300_n40_L2_f075,241.0,-34659.0187,600.0,0,,SA and VNS.csv
SA,40,3,f075,ttd300_n40_L3_f075,286.0,-38277.3918,600.064,0,,SA and VNS.csv
VNS,40,3,f075,ttd300_n40_L3_f075,286.0,-35129.0721,600.012,0,,SA and VNS.csv
SA,40,4,f075,ttd300_n40_L4_f075,274.0,-31222.7115,600.0623,0,,SA and VNS.csv
VNS,40,4,f075,ttd300_n40_L4_f075,274.0,-43327.1291,600.208,0,,SA and VNS.csv
SA,40,5,f075,ttd300_n40_L5_f075,300.0,-33823.5688,600.0558,0,,SA and VNS.csv
VNS,40,5,f075,ttd300_n40_L5_f075,300.0,-44765.4204,600.08,0,,SA and VNS.csv
SA,40,1,f100,ttd300_n40_L1_f100,378.0,-32697.9551,600.0724,0,,SA and VNS.csv
VNS,40,1,f100,ttd300_n40_L1_f100,378.0,-33371.1354,600.0335,0,,SA and VNS.csv
SA,40,2,f100,ttd300_n40_L2_f100,321.0,-29672.4152,600.0376,0,,SA and VNS.csv
VNS,40,2,f100,ttd300_n40_L2_f100,321.0,-31868.0446,600.0366,0,,SA and VNS.csv
SA,40,3,f100,ttd300_n40_L3_f100,382.0,-36480.1085,600.0392,0,,SA and VNS.csv
VNS,40,3,f100,ttd300_n40_L3_f100,382.0,-46678.8444,600.0506,0,,SA and VNS.csv
SA,40,4,f100,ttd300_n40_L4_f100,365.0,-31049.7917,600.0405,0,,SA and VNS.csv
VNS,40,4,f100,ttd300_n40_L4_f100,365.0,-44375.5559,600.0344,0,,SA and VNS.csv
SA,40,5,f100,ttd300_n40_L5_f100,400.0,-32523.4498,600.0589,0,,SA and VNS.csv
VNS,40,5,f100,ttd300_n40_L5_f100,400.0,-41631.9435,600.2225,0,,SA and VNS.csv
SA,50,1,f025,ttd300_n50_L1_f025,94.0,-43569.8769,750.0862,0,,SA and VNS.csv
VNS,50,1,f025,ttd300_n50_L1_f025,94.0,-46027.4017,750.0,0,,SA and VNS.csv
SA,50,2,f025,ttd300_n50_L2_f025,86.0,-41307.0819,750.0967,0,,SA and VNS.csv
VNS,50,2,f025,ttd300_n50_L2_f025,86.0,-38732.9835,750.0,0,,SA and VNS.csv
VNS,50,3,f025,ttd300_n50_L3_f025,95.0,-54558.8336,750.0001,0,,SA and VNS.csv
SA,50,3,f025,ttd300_n50_L3_f025,95.0,-54821.7256,750.0544,0,,SA and VNS.csv
SA,50,4,f025,ttd300_n50_L4_f025,94.0,-55137.7048,750.0544,0,,SA and VNS.csv
VNS,50,4,f025,ttd300_n50_L4_f025,94.0,-54030.2676,750.0001,0,,SA and VNS.csv
VNS,50,5,f025,ttd300_n50_L5_f025,93.0,-45257.3569,750.0,0,,SA and VNS.csv
SA,50,5,f025,ttd300_n50_L5_f025,93.0,-45941.8696,750.0529,0,,SA and VNS.csv
SA,50,1,f050,ttd300_n50_L1_f050,187.0,-29631.2504,750.1214,0,,SA and VNS.csv
VNS,50,1,f050,ttd300_n50_L1_f050,187.0,-38200.6711,750.0001,0,,SA and VNS.csv
VNS,50,2,f050,ttd300_n50_L2_f050,172.0,-37253.6391,750.0286,0,,SA and VNS.csv
SA,50,2,f050,ttd300_n50_L2_f050,172.0,-28737.211,750.086,0,,SA and VNS.csv
SA,50,3,f050,ttd300_n50_L3_f050,190.0,-37297.3934,750.161,0,,SA and VNS.csv
VNS,50,3,f050,ttd300_n50_L3_f050,190.0,-41360.2986,750.0,0,,SA and VNS.csv
VNS,50,4,f050,ttd300_n50_L4_f050,188.0,-39408.1559,750.0001,0,,SA and VNS.csv
SA,50,4,f050,ttd300_n50_L4_f050,188.0,-31406.2879,750.1297,0,,SA and VNS.csv
SA,50,5,f050,ttd300_n50_L5_f050,186.0,-34260.3138,750.0625,0,,SA and VNS.csv
VNS,50,5,f050,ttd300_n50_L5_f050,186.0,-41616.9949,750.1887,0,,SA and VNS.csv
SA,50,1,f075,ttd300_n50_L1_f075,280.0,-27566.097,750.061,0,,SA and VNS.csv
VNS,50,1,f075,ttd300_n50_L1_f075,280.0,-39667.7156,750.0001,0,,SA and VNS.csv
SA,50,2,f075,ttd300_n50_L2_f075,257.0,-27591.4642,750.0993,0,,SA and VNS.csv
VNS,50,2,f075,ttd300_n50_L2_f075,257.0,-39395.2983,750.0681,0,,SA and VNS.csv
SA,50,3,f075,ttd300_n50_L3_f075,284.0,-38569.5463,750.0653,0,,SA and VNS.csv
SA,50,4,f075,ttd300_n50_L4_f075,281.0,-31463.1708,750.0948,0,,SA and VNS.csv
VNS,50,4,f075,ttd300_n50_L4_f075,281.0,-45354.9854,750.0,0,,SA and VNS.csv
VNS,50,3,f075,ttd300_n50_L3_f075,284.0,-45528.1083,751.9196,0,,SA and VNS.csv
SA,50,5,f075,ttd300_n50_L5_f075,279.0,-32361.6891,750.0639,0,,SA and VNS.csv
SA,50,1,f100,ttd300_n50_L1_f100,374.0,-27718.6505,750.1,0,,SA and VNS.csv
VNS,50,5,f075,ttd300_n50_L5_f075,279.0,-40435.7248,750.5196,0,,SA and VNS.csv
VNS,50,1,f100,ttd300_n50_L1_f100,374.0,-38268.8468,750.1113,0,,SA and VNS.csv
SA,50,2,f100,ttd300_n50_L2_f100,343.0,-28330.7426,750.0918,0,,SA and VNS.csv
VNS,50,2,f100,ttd300_n50_L2_f100,343.0,-36460.5648,750.2817,0,,SA and VNS.csv
SA,50,3,f100,ttd300_n50_L3_f100,379.0,-38959.9956,750.1641,0,,SA and VNS.csv
VNS,50,3,f100,ttd300_n50_L3_f100,379.0,-48840.4576,750.0001,0,,SA and VNS.csv
SA,50,4,f100,ttd300_n50_L4_f100,375.0,-32213.97,750.113,0,,SA and VNS.csv
VNS,50,4,f100,ttd300_n50_L4_f100,375.0,-47488.4913,750.004,0,,SA and VNS.csv
SA,50,5,f100,ttd300_n50_L5_f100,372.0,-33281.2413,750.0673,0,,SA and VNS.csv
VNS,50,5,f100,ttd300_n50_L5_f100,372.0,-45404.7207,750.4662,0,,SA and VNS.csv
SA,75,1,f025,ttd300_n75_L1_f025,94.0,-44853.4191,975.3731,0,,SA and VNS.csv
VNS,75,1,f025,ttd300_n75_L1_f025,94.0,-42232.1359,975.0001,0,,SA and VNS.csv
SA,75,2,f025,ttd300_n75_L2_f025,97.0,-33099.4911,975.138,0,,SA and VNS.csv
VNS,75,2,f025,ttd300_n75_L2_f025,97.0,-33807.7189,975.0001,0,,SA and VNS.csv
SA,75,3,f025,ttd300_n75_L3_f025,91.0,-40453.4491,975.6813,0,,SA and VNS.csv
VNS,75,3,f025,ttd300_n75_L3_f025,91.0,-46234.9153,975.0001,0,,SA and VNS.csv
SA,75,4,f025,ttd300_n75_L4_f025,88.0,-36209.526,975.1394,0,,SA and VNS.csv
VNS,75,4,f025,ttd300_n75_L4_f025,88.0,-47875.666,975.0001,0,,SA and VNS.csv
SA,75,5,f025,ttd300_n75_L5_f025,100.0,-44526.4716,975.4878,0,,SA and VNS.csv
VNS,75,5,f025,ttd300_n75_L5_f025,100.0,-54429.9568,975.9108,0,,SA and VNS.csv
SA,75,1,f050,ttd300_n75_L1_f050,187.0,-31382.1317,975.4948,0,,SA and VNS.csv
VNS,75,1,f050,ttd300_n75_L1_f050,187.0,-46851.7419,975.6351,0,,SA and VNS.csv
SA,75,2,f050,ttd300_n75_L2_f050,194.0,-26408.3043,975.3631,0,,SA and VNS.csv
VNS,75,2,f050,ttd300_n75_L2_f050,194.0,-28353.1618,975.0001,0,,SA and VNS.csv
SA,75,3,f050,ttd300_n75_L3_f050,182.0,-33081.4065,975.1555,0,,SA and VNS.csv
VNS,75,3,f050,ttd300_n75_L3_f050,182.0,-52588.6843,976.6224,0,,SA and VNS.csv
VNS,75,4,f050,ttd300_n75_L4_f050,177.0,-40928.4047,975.0001,0,,SA and VNS.csv
SA,75,4,f050,ttd300_n75_L4_f050,177.0,-33755.3469,975.3115,0,,SA and VNS.csv
SA,75,5,f050,ttd300_n75_L5_f050,199.0,-31093.9289,975.1544,0,,SA and VNS.csv
VNS,75,5,f050,ttd300_n75_L5_f050,199.0,-51443.3113,975.5385,0,,SA and VNS.csv
VNS,75,1,f075,ttd300_n75_L1_f075,280.0,-46806.2204,975.0001,0,,SA and VNS.csv
SA,75,1,f075,ttd300_n75_L1_f075,280.0,-34624.2603,975.3614,0,,SA and VNS.csv
SA,75,2,f075,ttd300_n75_L2_f075,290.0,-29927.827,975.3397,0,,SA and VNS.csv
VNS,75,2,f075,ttd300_n75_L2_f075,290.0,-33658.4066,977.7082,0,,SA and VNS.csv
SA,75,3,f075,ttd300_n75_L3_f075,272.0,-30715.1164,975.3573,0,,SA and VNS.csv
SA,75,4,f075,ttd300_n75_L4_f075,266.0,-35669.7802,975.2295,0,,SA and VNS.csv
VNS,75,3,f075,ttd300_n75_L3_f075,272.0,-50557.1589,978.2413,0,,SA and VNS.csv
VNS,75,4,f075,ttd300_n75_L4_f075,266.0,-43173.103,975.0342,0,,SA and VNS.csv
SA,75,5,f075,ttd300_n75_L5_f075,298.0,-33277.2828,975.1763,0,,SA and VNS.csv
VNS,75,5,f075,ttd300_n75_L5_f075,298.0,-50913.0815,975.2742,0,,SA and VNS.csv
SA,75,1,f100,ttd300_n75_L1_f100,374.0,-34021.8296,975.2764,0,,SA and VNS.csv
VNS,75,1,f100,ttd300_n75_L1_f100,374.0,-49976.1201,975.0001,0,,SA and VNS.csv
VNS,75,2,f100,ttd300_n75_L2_f100,387.0,-37490.8884,975.0001,0,,SA and VNS.csv
SA,75,2,f100,ttd300_n75_L2_f100,387.0,-28620.5357,975.5379,0,,SA and VNS.csv
SA,75,3,f100,ttd300_n75_L3_f100,363.0,-32480.4757,975.5727,0,,SA and VNS.csv
VNS,75,3,f100,ttd300_n75_L3_f100,363.0,-50112.0655,976.9338,0,,SA and VNS.csv
VNS,75,4,f100,ttd300_n75_L4_f100,354.0,-45357.6149,975.0001,0,,SA and VNS.csv
SA,75,4,f100,ttd300_n75_L4_f100,354.0,-35364.0222,975.2808,0,,SA and VNS.csv
SA,75,5,f100,ttd300_n75_L5_f100,398.0,-35962.5846,975.5447,0,,SA and VNS.csv
VNS,75,5,f100,ttd300_n75_L5_f100,398.0,-51037.6565,975.6451,0,,SA and VNS.csv
VNS,100,1,f025,ttd300_n100_L1_f025,98.0,-61507.9554,1200.0889,0,,SA and VNS.csv
SA,100,1,f025,ttd300_n100_L1_f025,98.0,-40871.9351,1200.8696,0,,SA and VNS.csv
SA,100,2,f025,ttd300_n100_L2_f025,98.0,-32489.9109,1201.4562,0,,SA and VNS.csv
VNS,100,2,f025,ttd300_n100_L2_f025,98.0,-49691.9103,1201.2327,0,,SA and VNS.csv
SA,100,3,f025,ttd300_n100_L3_f025,94.0,-39819.5765,1200.8093,0,,SA and VNS.csv
VNS,100,3,f025,ttd300_n100_L3_f025,94.0,-52217.8872,1200.5903,0,,SA and VNS.csv
SA,100,4,f025,ttd300_n100_L4_f025,93.0,-34093.7966,1201.3441,0,,SA and VNS.csv
VNS,100,4,f025,ttd300_n100_L4_f025,93.0,-56566.3562,1200.0649,0,,SA and VNS.csv
VNS,100,5,f025,ttd300_n100_L5_f025,92.0,-47885.2528,1200.0453,0,,SA and VNS.csv
SA,100,5,f025,ttd300_n100_L5_f025,92.0,-37838.7147,1200.9947,0,,SA and VNS.csv
SA,100,1,f050,ttd300_n100_L1_f050,196.0,-35011.7145,1200.6137,0,,SA and VNS.csv
VNS,100,1,f050,ttd300_n100_L1_f050,196.0,-56932.3189,1201.3523,0,,SA and VNS.csv
SA,100,2,f050,ttd300_n100_L2_f050,195.0,-29291.3149,1200.8134,0,,SA and VNS.csv
VNS,100,2,f050,ttd300_n100_L2_f050,195.0,-43257.1542,1202.4294,0,,SA and VNS.csv
SA,100,3,f050,ttd300_n100_L3_f050,188.0,-32724.7464,1200.6798,0,,SA and VNS.csv
VNS,100,3,f050,ttd300_n100_L3_f050,188.0,-50514.112,1200.6609,0,,SA and VNS.csv
SA,100,4,f050,ttd300_n100_L4_f050,186.0,-30777.9986,1200.2943,0,,SA and VNS.csv
VNS,100,4,f050,ttd300_n100_L4_f050,186.0,-43998.9406,1200.0001,0,,SA and VNS.csv
SA,100,5,f050,ttd300_n100_L5_f050,183.0,-29251.9947,1200.5764,0,,SA and VNS.csv
VNS,100,5,f050,ttd300_n100_L5_f050,183.0,-49226.3249,1200.6142,0,,SA and VNS.csv
SA,100,1,f075,ttd300_n100_L1_f075,295.0,-37224.3766,1201.0016,0,,SA and VNS.csv
VNS,100,1,f075,ttd300_n100_L1_f075,295.0,-59989.5823,1200.1165,0,,SA and VNS.csv
SA,100,2,f075,ttd300_n100_L2_f075,292.0,-29196.8471,1200.7049,0,,SA and VNS.csv
VNS,100,2,f075,ttd300_n100_L2_f075,292.0,-39912.6779,1202.8798,0,,SA and VNS.csv
SA,100,3,f075,ttd300_n100_L3_f075,282.0,-35801.07,1200.6672,0,,SA and VNS.csv
VNS,100,3,f075,ttd300_n100_L3_f075,282.0,-51722.496,1200.0001,0,,SA and VNS.csv
SA,100,4,f075,ttd300_n100_L4_f075,278.0,-22811.3761,1200.4337,0,,SA and VNS.csv
VNS,100,4,f075,ttd300_n100_L4_f075,278.0,-49790.379,1200.0001,0,,SA and VNS.csv
SA,100,5,f075,ttd300_n100_L5_f075,274.0,-31702.6008,1200.8512,0,,SA and VNS.csv
VNS,100,5,f075,ttd300_n100_L5_f075,274.0,-44094.0531,1201.3619,0,,SA and VNS.csv
SA,100,1,f100,ttd300_n100_L1_f100,393.0,-42396.7028,1200.4692,0,,SA and VNS.csv
VNS,100,1,f100,ttd300_n100_L1_f100,393.0,-59495.9462,1204.9278,0,,SA and VNS.csv
SA,100,2,f100,ttd300_n100_L2_f100,390.0,-34659.3225,1200.8229,0,,SA and VNS.csv
SA,100,3,f100,ttd300_n100_L3_f100,376.0,-37856.5761,1200.629,0,,SA and VNS.csv
VNS,100,3,f100,ttd300_n100_L3_f100,376.0,-47047.4205,1200.3927,0,,SA and VNS.csv
VNS,100,2,f100,ttd300_n100_L2_f100,390.0,-41348.0158,1214.8087,0,,SA and VNS.csv
SA,100,4,f100,ttd300_n100_L4_f100,371.0,-30180.5327,1200.4865,0,,SA and VNS.csv
VNS,100,4,f100,ttd300_n100_L4_f100,371.0,-49782.8174,1200.0001,0,,SA and VNS.csv
SA,100,5,f100,ttd300_n100_L5_f100,366.0,-29607.2036,1200.6082,0,,SA and VNS.csv
VNS,100,5,f100,ttd300_n100_L5_f100,366.0,-48777.6097,1200.1383,0,,SA and VNS.csv
VNS,10,3,f025,ttd300_n10_L3_f025,75.0,-46605.8455,120.0,1,,SA and VNS.csv
VNS,10,4,f025,ttd300_n10_L4_f025,63.0,-39204.872,120.0,1,,SA and VNS.csv
VNS,10,1,f025,ttd300_n10_L1_f025,76.0,-45243.1965,120.0,1,,SA and VNS.csv
VNS,10,2,f025,ttd300_n10_L2_f025,68.0,-35485.5482,120.0,1,,SA and VNS.csv
VNS,10,5,f025,ttd300_n10_L5_f025,70.0,-43130.5484,120.0,1,,SA and VNS.csv
VNS,10,1,f050,ttd300_n10_L1_f050,153.0,-41253.16,120.0,1,,SA and VNS.csv
VNS,10,2,f050,ttd300_n10_L2_f050,135.0,-31974.7911,120.0001,1,,SA and VNS.csv
VNS,10,3,f050,ttd300_n10_L3_f050,150.0,-43655.7454,120.0,1,,SA and VNS.csv
VNS,10,4,f050,ttd300_n10_L4_f050,126.0,-36633.872,120.0,1,,SA and VNS.csv
VNS,10,5,f050,ttd300_n10_L5_f050,139.0,-38700.5448,120.0,1,,SA and VNS.csv
VNS,10,1,f075,ttd300_n10_L1_f075,230.0,-34623.121,120.0,1,,SA and VNS.csv
VNS,10,2,f075,ttd300_n10_L2_f075,202.0,-30081.8141,120.0,1,,SA and VNS.csv
VNS,10,3,f075,ttd300_n10_L3_f075,225.0,-39634.0283,120.0,1,,SA and VNS.csv
VNS,10,4,f075,ttd300_n10_L4_f075,189.0,-23642.3451,120.0001,1,,SA and VNS.csv
VNS,10,5,f075,ttd300_n10_L5_f075,208.0,-31116.3078,120.0,1,,SA and VNS.csv
VNS,10,1,f100,ttd300_n10_L1_f100,306.0,-29669.7658,120.0,1,,SA and VNS.csv
VNS,10,2,f100,ttd300_n10_L2_f100,270.0,-21359.9423,120.0,1,,SA and VNS.csv
VNS,10,3,f100,ttd300_n10_L3_f100,300.0,-27048.6463,120.0,1,,SA and VNS.csv
VNS,10,4,f100,ttd300_n10_L4_f100,252.0,-21573.3511,120.0,1,,SA and VNS.csv
VNS,10,5,f100,ttd300_n10_L5_f100,278.0,-29298.4085,120.0,1,,SA and VNS.csv
VNS,10,1,f025,ttd300_n10_L1_f025,76.0,-45243.1965,120.0,2,,SA and VNS.csv
